"","lc","fns","Label","Group_function","Organism","effect_mean","effect_SD","effect_median","effect_ci_2.5","effect_ci_17","effect_ci_83","effect_ci_97.5"
"36","Shrubland","OM_decomposition_service","Decomposition (OM)","Function","Function",0.132896045447152,0.30252618450426,0.118809089917737,-0.342555670006921,-0.144503473036759,0.416041055765119,0.733184399098417
"37","Shrubland","Pathogen_control","Pathogen control","Function","Function",NA,NA,NA,-2.40081431663738,-1.52884635172807,0.175542269915213,1.00301969696664
"38","Shrubland","Protist_JaccDist_av","Protist Dissimilarity","Dissimilarity","Protists",NA,NA,NA,-2.08606479813671,-1.42240436010328,0.430922962071406,1.20397605436697
"39","Shrubland","Protist_richness","Protist Richness","Richness","Protists",NA,NA,NA,-0.770614290243763,-0.237522548021193,1.60473038711135,2.80916880994155
"40","Shrubland","Protist_shannonDiv","Protist Shannon","Shannon","Protists",NA,NA,NA,-0.764432316912735,-0.194199371402724,1.85698334781179,3.03877098207244
"41","Shrubland","Soil_carbon_service","Soil carbon","Function","Function",-0.567294569957063,0.362134539769066,-0.5551605425916,-1.16652358915726,-0.910295535787786,-0.230398780478898,0.129228196501076
"42","Shrubland","Soil_stability_service","Soil stability","Function","Function",0.620368201450306,0.338297202740207,0.609851778354991,0.0645188716007747,0.297426064856493,0.952569421257957,1.27840325682339
"43","Woodland","Arbuscularmycorrhizal_richness","AM fungi Richness","Richness","Fungi",-0.699941316603851,0.254387191646969,-0.68676413612936,-1.1201756991971,-0.939358315577369,-0.454628758764886,-0.22791892688047
"44","Woodland","Bac_JaccDist_av","Bacterial Dissimilarity","Dissimilarity","Bacteria",1.11371945825427,0.163057249429301,1.10951706441833,0.848052249874126,0.951783957111863,1.26545629463277,1.43180732197265
"45","Woodland","Bac_richness","Bacterial Richness","Richness","Bacteria",-1.59284596533805,0.412358682784544,-1.63813561409355,-2.19912355130967,-2.01356778464654,-1.10930972895764,-0.849731014043738
"46","Woodland","Bac_shannonDiv","Bacterial Shannon","Shannon","Bacteria",-1.59619518325303,0.239962658972165,-1.61411658538638,-1.96049176216364,-1.83413681301673,-1.33445092802758,-1.12696303071673
"47","Woodland","Decomposer_richness","Decomposer Richness","Richness","Decomposers",-0.738963186010577,0.24773404737218,-0.740416575521172,-1.14461943975226,-0.968190678752363,-0.506040755477895,-0.256869159018639
"48","Woodland","Ectomycorrhizal_richness","EM fungi Richness","Richness","Fungi",-1.47472721487825,0.317506839808204,-1.4379783522322,-2.02248875040264,-1.76511610790748,-1.18923943063604,-0.978633958814208
