"Variables","VIF_raw","VIF","Longitude","Latitude","Soil_pH","Soil_salinity","Soil_texture","Elevation","AnnualTemp","AnnualPrec"
"Longitude",1.29302141959331,1.29302141959331,1,0.0539361072159386,0.0324015338198872,0.250562927207773,0.22014663369097,-0.24723150716208,-0.203709190099808,-0.168884113548849
"Latitude",1.26044842958154,1.26044842958154,0.0539361072159386,1,0.360289511308184,0.199505495107275,0.275693122410134,0.0915500456844582,-0.223782934701316,-0.166616949068882
"Soil_pH",1.733521266103,1.733521266103,0.0324015338198872,0.360289511308184,1,0.147662531487718,0.188383883111403,0.268359804640394,-0.214159771588954,-0.461232915938148
"Soil_salinity",1.17831283689345,1.17831283689345,0.250562927207773,0.199505495107275,0.147662531487718,1,0.169802267955899,0.0153970791884916,-0.252788456462524,-0.181827358523812
"Soil_texture",1.44332569428968,1.44332569428968,0.22014663369097,0.275693122410134,0.188383883111403,0.169802267955899,1,-0.0359535138516062,-0.178980981888117,0.232284510075418
"Elevation",1.25752367696394,1.25752367696394,-0.24723150716208,0.0915500456844582,0.268359804640394,0.0153970791884916,-0.0359535138516062,1,-0.215161618652932,0.0134583345108455
"AnnualTemp",1.22883355616859,1.22883355616859,-0.203709190099808,-0.223782934701316,-0.214159771588954,-0.252788456462524,-0.178980981888117,-0.215161618652932,1,0.0516282326978807
"AnnualPrec",1.68380125759627,1.68380125759627,-0.168884113548849,-0.166616949068882,-0.461232915938148,-0.181827358523812,0.232284510075418,0.0134583345108455,0.0516282326978807,1
