PA,PA_type,Grassland,Shrubland,Woodland
1,Ia,2,1,1
1,Ib,NA,2,NA
1,II,12,10,NA
1,IV,2,5,3
1,V,3,4,6
1,VI,1,1,NA
0,Not Reported,2,10,19
0,Not Assigned,NA,1,NA
0,Not Applicable,5,5,4
0,NA,73,115,43
