"lc","lower","effect","upper","fns","run","Label","Label_short","Group_function","Organism"
"Shrubland",-1.85498310881124,-0.599613404770231,0.690633737000048,"Bac_JaccDist_av",5,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-3.96090371715089,-2.3281192169318,-0.61871097804535,"Bac_richness",5,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-3.50781412269328,-1.98113914156943,-0.379413894270195,"Bac_shannonDiv",5,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",-7.25746527843543e-05,1.45833491418287,2.84957343523772,"Bac_JaccDist_av",5,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",1.56877637420389,3.81652052170323,5.99671694003092,"Bac_richness",6,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",0.908820829899399,2.76520543316488,4.54573628736927,"Bac_shannonDiv",6,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-1.22469490066059,0.0153900119698347,1.25453034048539,"Bac_JaccDist_av",6,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",-1.17833995684605,0.0635793068717822,1.30161389455369,"Bac_richness",6,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",-1.49063952111468,-0.252761597231543,1.00049092415308,"Bac_shannonDiv",6,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-1.36576891344297,-0.128565628871519,1.11650769336784,"Bac_JaccDist_av",6,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-2.2153919870061,-0.923408618862023,0.418639955820682,"Bac_richness",6,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-2.80261519809223,-1.41994718113341,0.0290191611863716,"Bac_shannonDiv",6,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",0.0778643127342921,1.56284563562589,2.97844274833308,"Bac_JaccDist_av",6,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",0.0275977525629255,1.4952699636958,2.89494788507605,"Bac_richness",7,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",-0.0640793289986636,1.3736660536359,2.74627914513754,"Bac_shannonDiv",7,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-1.20430788843277,0.036528505105826,1.27512305397564,"Bac_JaccDist_av",7,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",0.456136116916831,2.09099027799925,3.65002010068763,"Bac_richness",7,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",0.0173945737983935,1.48162879450187,2.87816796518554,"Bac_shannonDiv",7,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-4.13521549009811,-2.4595050488215,-0.707118721592807,"Bac_JaccDist_av",7,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-3.00750739815923,-1.58625458063077,-0.0951703552764964,"Bac_richness",7,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-2.87451731679451,-1.4786582669254,-0.0151701902195281,"Bac_shannonDiv",7,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",-0.356389543162002,1.00014561796921,2.30353734877782,"Bac_JaccDist_av",7,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",-0.149051370066611,1.26281976101926,2.61264157587497,"Bac_richness",8,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",0.0721677539323105,1.55515633878676,2.96891135852728,"Bac_shannonDiv",8,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-0.586488733203019,0.721404252314135,1.9883206954346,"Bac_JaccDist_av",8,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",-0.875222409233545,0.390266576316137,1.63233856126969,"Bac_richness",8,"Bacterial Richness","Bacterial R","Richness","Bacteria"
