LC,PA_rank,emmean,lower.HPD,upper.HPD,fns,scale
Dryland,1,4296.724866808643,3664.873346643448,4987.547565771698,Bac_richness,global
Dryland,10,4163.098468761327,3812.3920802130137,4513.134493459032,Bac_richness,global
Dryland,2,2936.512086827467,2026.130888220795,3877.670385500356,Bac_richness,global
Dryland,3,4058.299892096359,3777.137325783945,4337.383071438343,Bac_richness,global
Dryland,5,4221.492465460631,3801.7615152936323,4627.275975174259,Bac_richness,global
Dryland,6,3476.2287229919434,3109.8911267414364,3840.3076942947546,Bac_richness,global
Dryland,7,3212.4048862984832,2288.8100354171975,4138.704844716762,Bac_richness,global
Dryland,8,4387.167548302141,4143.433559534499,4617.0869224024855,Bac_richness,global
Dryland,9,4136.932902205465,2806.003285780629,5415.761801414185,Bac_richness,global
Dryland,Unprotected,3977.3464025512685,3891.744216167741,4065.8368515887937,Bac_richness,global
Dryland,1,7.696115273465824,7.36514081453709,8.040519725463328,Bac_shannonDiv,global
Dryland,10,7.571479315546663,7.392500196895112,7.747255894287347,Bac_shannonDiv,global
Dryland,2,6.978975689616299,6.511210103139016,7.4491964736447125,Bac_shannonDiv,global
Dryland,3,7.515327429460808,7.372898040871718,7.65455750393177,Bac_shannonDiv,global
Dryland,5,7.645007496495952,7.431950974221381,7.851722259142307,Bac_shannonDiv,global
Dryland,6,7.1641285717458665,6.975018879948234,7.349073260293262,Bac_shannonDiv,global
Dryland,7,7.223418865515871,6.753383927513184,7.7037965835439515,Bac_shannonDiv,global
Dryland,8,7.693937367625777,7.575004723455226,7.81638045958316,Bac_shannonDiv,global
Dryland,9,7.550583414714714,6.896414259394726,8.230826122120618,Bac_shannonDiv,global
Dryland,Unprotected,7.5023362741128965,7.46020600794015,7.54750351841499,Bac_shannonDiv,global
Dryland,1,0.8760541009983895,0.8612903292016795,0.8905153613012468,Bac_JaccDist_av,global
Dryland,10,0.8714072222755164,0.8639050766034918,0.8792519777875868,Bac_JaccDist_av,global
Dryland,2,0.8861805407818563,0.8657924210660736,0.9060389527088638,Bac_JaccDist_av,global
Dryland,3,0.8811536111649702,0.8749203277911091,0.887171594927296,Bac_JaccDist_av,global
Dryland,5,0.866800134674635,0.8575670050614259,0.8758679670138368,Bac_JaccDist_av,global
Dryland,6,0.9048096555962919,0.8970616309240118,0.9128975216731771,Bac_JaccDist_av,global
Dryland,7,0.8883194089431453,0.8686973427308152,0.9088001584284028,Bac_JaccDist_av,global
Dryland,8,0.8781352930573398,0.8731272495333153,0.88345659075063,Bac_JaccDist_av,global
Dryland,9,0.8699411330461262,0.840850690847997,0.8976985421920652,Bac_JaccDist_av,global
Dryland,Unprotected,0.8810989613254103,0.8792499475401304,0.8830476542408873,Bac_JaccDist_av,global
