LC,PA_rank_rev.trend,lower.HPD,upper.HPD,fns,scale,Group_function,scale_icon,significance
Grassland,0.03370720448258879,-2.320282963633531,2.4655201888026568,Bac_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,-0.03374637022288418,-3.2060290124516087,2.9175620312904584,Nutrient_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-0.03562209044980591,-2.4846332117462,1.9841916316192396,Pathogen_control,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,-0.03591555450009309,-3.82374339498017,3.725819669419707,Bac_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,0.03673829133546214,-3.9113087292514592,4.07135444328901,Soil_stability_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-0.04117389424545337,-1.6556741259850014,1.461835319407669,Fungi_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,-0.0456225937556276,-3.020628071496617,2.9170594105548844,OM_decomposition_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,0.04664429179382523,-3.9342158884687617,3.877868248687264,Bac_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-0.04903209318251811,-3.4227729917259992,3.2550330810959167,Fungi_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-0.05242224769376946,-3.0232543262808065,3.212146060547638,Protist_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,0.05304950375204953,-2.3967182538953153,2.501184215710964,Protist_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,0.05310207279417334,-1.0938218783687716,0.9587934118885072,Fungi_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,0.05347476589192013,-4.053705106876237,4.5479050637404725,Invertebrate_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-0.05885241286213727,-1.8437252655537577,2.0702356424982327,Bac_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,0.05953797909438663,-2.422632255452811,5.542492385302467,Invertebrate_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,-0.06018725622762844,-1.2724198731841057,0.5818789769576256,Invertebrate_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-0.06537511290986231,-1.797683568499906,0.5436116262816313,Invertebrate_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-0.07091588300235685,-7.250622877887679,3.432030246088061,Invertebrate_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-0.0736809016861173,-3.329433361357701,1.2078489390723917,Fungi_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,0.07638905571693044,-3.531982312765109,3.08751371924086,Protist_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-0.07763632277984378,-2.5061038937024023,2.235731966452363,Invertebrate_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,-0.08007742663061101,-2.235391256926391,1.298113681839368,Protist_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,0.08062417222438967,-1.5484742817777717,1.8313188091166808,Bac_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,0.08065829647773626,-3.117949591608294,3.036203814792998,Fungi_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-0.08246436016975167,-13.015730112463586,22.365676723265096,Nematode_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-0.08300840538686316,-16.234458064685583,15.837416531696364,Nematode_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-0.09105873662113596,-3.463004533758862,3.2198948898807203,Bac_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,0.0979907971146865,-4.288561761704102,4.29971848739882,Invertebrate_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,0.11490096246507164,-7.127933314722895,8.753069676231007,Arbuscularmycorrhizal_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-0.11493704447323694,-3.2674321637712183,2.513550914188727,Arbuscularmycorrhizal_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,0.12333477200678544,-3.532490495734578,2.577000550903904,Invertebrate_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,0.12375302103191645,-8.45065829823261,6.874683993040435,Decomposer_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,0.1360848741926333,-0.5341189539219044,1.109564486553495,Fungi_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-0.14137603645075103,-4.234536090945539,4.276809968031046,Arbuscularmycorrhizal_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,-0.15079871910197795,-2.6374201719908115,2.4319314329865165,Pathogen_control,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,0.15160945988645835,-16.510482060039067,21.54011495071495,Nematode_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-0.15164396828851068,-7.46262409968142,2.3414152155191914,Protist_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-0.1546979301464404,-3.936751364102861,3.294369635384328,Soil_carbon_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-0.17818302738291436,-4.229124630290812,4.156829176669021,Soil_stability_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,0.188908389088283,-16.84237319481241,16.313947958958124,Invertebrate_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,-0.1997992670452504,-4.697263951891728,3.376329817988335,Arbuscularmycorrhizal_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,0.21956122787685217,-5.005055251276644,5.116992636893883,Decomposer_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,-0.22333957955197548,-1.4701033571520554,0.6867086081745128,Protist_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-0.2239064581653878,-8.31313790598324,5.694080939158994,Arbuscularmycorrhizal_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,0.2701902968542811,-8.395317491944752,5.689373021160463,Soil_carbon_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-0.2715381613133445,-5.706394950331969,4.260383038064674,Soil_carbon_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,-0.2841418771122477,-2.474736564880459,1.5888906279837016,Bac_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-0.2898778418803829,-4.056432232068573,1.8791853060574797,OM_decomposition_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,0.291670915473901,-3.006477320553472,4.504419478299496,Ectomycorrhizal_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,0.338256730387684,-15.607500533104997,15.300651678580834,Nematode_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-0.35617798859170335,-1.346297120437583,0.18990066829047691,Protist_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,0.35988386833487596,-3.8262682870879416,4.798348852101071,Ectomycorrhizal_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,0.36303396594883,-6.928447015708684,7.237724750002144,Decomposer_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-0.3693867616667532,-3.215899907512494,3.1583380523151163,OM_decomposition_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,0.4530456118313566,-2.2237554433004334,10.735368459568916,OM_decomposition_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
