"lc","lower","effect","upper","fns","run","Label","Label_short","Group_function","Organism"
"Grassland",-0.828810149430799,0.442127401203609,1.68672457477392,"Bac_richness",1,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",-1.2072296607049,0.0334937340389339,1.27216147390105,"Bac_shannonDiv",1,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-0.86364330796926,0.403141778143503,1.64579331949602,"Bac_JaccDist_av",1,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",-0.924167084352797,0.336094112437673,1.57608045952199,"Bac_richness",1,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",-1.11854137960296,0.126415160096979,1.36363337406391,"Bac_shannonDiv",1,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-1.55400971289497,-0.314692211474618,0.943643416806062,"Bac_JaccDist_av",1,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-3.24988905452631,-1.77935255914493,-0.235909554598027,"Bac_richness",1,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-3.28852597196952,-1.80980759705747,-0.257794389150329,"Bac_shannonDiv",1,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",-0.0834915410500058,1.34818715360413,2.71540144749504,"Bac_JaccDist_av",1,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",1.47076643665808,3.65602812231481,5.7721388210863,"Bac_richness",2,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",0.489297709288663,2.13888367981633,3.71240005827931,"Bac_shannonDiv",2,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-0.488240924155457,0.838784051143719,2.11938439364934,"Bac_JaccDist_av",2,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",-1.27234070196549,-0.0336774419489194,1.20705274433517,"Bac_richness",2,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",-1.6987927676228,-0.453570756857549,0.818629031824306,"Bac_shannonDiv",2,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-1.75431238031943,-0.505916040483359,0.772370669093391,"Bac_JaccDist_av",2,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-3.83729888066807,-2.23429433659654,-0.554847335418003,"Bac_richness",2,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-3.62931278591877,-2.0750548996269,-0.445063785354745,"Bac_shannonDiv",2,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",0.0498734440354854,1.52513982103756,2.93177891742311,"Bac_JaccDist_av",2,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",1.47181492775453,3.65773773964757,5.77452585852518,"Bac_richness",3,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",0.588115724933903,2.28306130285612,3.90145031767276,"Bac_shannonDiv",3,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-1.63636523363211,-0.394123006126061,0.87172872319266,"Bac_JaccDist_av",3,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",-0.874704170974075,0.390845227419183,1.63294257336897,"Bac_richness",3,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",-0.960258744910162,0.296504813837959,1.5353422605529,"Bac_shannonDiv",3,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-1.94219850619471,-0.679555228954161,0.622015368033547,"Bac_JaccDist_av",3,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-5.5487731511797,-3.49570355919369,-1.37199147319327,"Bac_richness",3,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-4.55382855707902,-2.77118471961409,-0.91271220468522,"Bac_shannonDiv",3,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",0.1547270721536,1.66737714709428,3.10877421416415,"Bac_JaccDist_av",3,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",1.04656688236219,2.9785422246827,4.83579648061091,"Bac_richness",4,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",0.188434001853641,1.71367564659283,3.16693802906248,"Bac_shannonDiv",4,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-1.94658534691353,-0.683548240420863,0.618614315128367,"Bac_JaccDist_av",4,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",-0.546528522014565,0.768837726589353,2.04099039519477,"Bac_richness",4,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",-0.77776575426811,0.499786519483465,1.7477838513493,"Bac_shannonDiv",4,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-2.7829641114872,-1.40383196751876,0.0412009532341586,"Bac_JaccDist_av",4,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-3.52616660468687,-1.99536408149662,-0.389403141087279,"Bac_richness",4,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-3.30224967023048,-1.82060493345155,-0.265533085880019,"Bac_shannonDiv",4,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",-0.0913273481308229,1.33792949804643,2.70299777675913,"Bac_JaccDist_av",4,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",0.335349809006765,1.91866052694074,3.42747824094052,"Bac_richness",5,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",-0.208982325301264,1.18579192088683,2.52084715854871,"Bac_shannonDiv",5,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-1.26372583821762,-0.0248398766949352,1.21557071768765,"Bac_JaccDist_av",5,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",-0.558485588749684,0.754617173022732,2.02515212861224,"Bac_richness",5,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",-0.484271682699527,0.843577181851658,2.1247889670329,"Bac_shannonDiv",5,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-2.9191845419641,-1.51493681259604,-0.0422746331773742,"Bac_JaccDist_av",5,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-3.43333128151576,-1.92322346855505,-0.338578895314944,"Bac_richness",5,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-3.20757966332961,-1.74590432595552,-0.21178155026691,"Bac_shannonDiv",5,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
