"lc","fns","Label","Group_function","Organism","effect_mean","effect_SD","effect_median","effect_ci_2.5","effect_ci_17","effect_ci_83","effect_ci_97.5"
"Cropland","Arbuscularmycorrhizal_richness","AM fungi Richness","Richness","Fungi",0.417361873696345,0.178195413688324,0.412199288242956,0.141962751326458,0.23942544586395,0.597797859811026,0.787495644129796
"Cropland","Bac_JaccDist_av","Bacterial Dissimilarity","Dissimilarity","Bacteria",-0.0562540262862039,0.184040266003062,-0.0551984258576523,-0.364953966915172,-0.229163102366702,0.126842057512164,0.316144518347813
"Cropland","Bac_richness","Bacterial Richness","Richness","Bacteria",0.190631174038211,0.214299663984619,0.197414331023087,-0.184013419284992,-0.00115397050899045,0.394312906225455,0.58689396507859
"Cropland","Bac_shannonDiv","Bacterial Shannon","Shannon","Bacteria",0.147968287972258,0.228213337976281,0.151626506893949,-0.250222706737126,-0.0724740014822093,0.364284206989347,0.560767464317442
"Cropland","Decomposer_richness","Decomposer Richness","Richness","Decomposers",0.755639772793502,0.15144931976633,0.781329468734304,0.458022463547878,0.603822615002478,0.895713287423043,1.00040394807623
"Cropland","Ectomycorrhizal_richness","EM fungi Richness","Richness","Fungi",0.414051867899483,0.221863599776617,0.439576340611731,-0.0353695106733738,0.226484533784335,0.624019968958515,0.785189446698217
"Cropland","Fungi_JaccDist_av","Fungal Dissimilarity","Dissimilarity","Fungi",-0.243302266957587,0.210727132522221,-0.240521194424408,-0.588095362575277,-0.442320360186978,-0.0375564447847972,0.159906419806096
"Cropland","Fungi_richness","Fungal Richness","Richness","Fungi",0.354710530514322,0.228583077297268,0.363258694007883,-0.0299146443486519,0.131046976387369,0.570873023494576,0.761572223353618
"Cropland","Fungi_shannonDiv","Fungal Shannon","Shannon","Fungi",-0.20650445312907,0.218403238669295,-0.198020326485494,-0.570641246842172,-0.413961004388586,-0.00282382875835591,0.189407826426568
"Cropland","Invertebrate_JaccDist_av","Invertebrate Dissimilarity","Dissimilarity","Invertebrates",0.0771291370417859,0.268978490133125,0.0681947324790227,-0.343976826390642,-0.166479702227202,0.33612231606686,0.607352633908868
"Cropland","Invertebrate_richness","Invertebrate Richness","Richness","Invertebrates",-0.0681998413510777,0.202271484679625,-0.0711109135607118,-0.394778746345174,-0.263643982561729,0.135074086710004,0.350656228463496
"Cropland","Invertebrate_shannonDiv","Invertebrate Shannon","Shannon","Invertebrates",-0.348181461889519,0.228226538413216,-0.337158933945924,-0.704248151986174,-0.567500213003298,-0.135203848436154,0.0905703627917888
"Cropland","Nematode_richness","Nematode Richness","Richness","Nematodes",-0.065803594040827,0.233641452595099,-0.0714789304462519,-0.455704481310751,-0.276440682833346,0.153586190686782,0.397589257813053
"Cropland","Nutrient_service","Nutrient cycling","Function","Function",-0.0640556870094869,0.18090567735027,-0.0663108676700684,-0.352451519043815,-0.239166117757807,0.111592236957735,0.280208681070892
"Cropland","OM_decomposition_service","Decomposition (OM)","Function","Function",-0.540286806260679,0.245934007014485,-0.552652114947027,-0.935241765236242,-0.766814274465456,-0.301941543796412,-0.0597934736604812
"Cropland","Pathogen_control","Pathogen control","Function","Function",0.190403553980505,0.259144283522011,0.215895692673109,-0.275568537024669,-0.034670539212044,0.424095097471239,0.628232062999422
"Cropland","Protist_JaccDist_av","Protist Dissimilarity","Dissimilarity","Protists",0.166765549431786,0.210344391263445,0.157186509062427,-0.158223447239076,-0.0312809090094085,0.368065493255405,0.581316943489529
"Cropland","Protist_richness","Protist Richness","Richness","Protists",-0.05003373716658,0.216920040458293,-0.0486180499467318,-0.380628847114555,-0.26284253776999,0.155598790888461,0.399581053533184
"Cropland","Protist_shannonDiv","Protist Shannon","Shannon","Protists",-0.1327352475351,0.240030030931567,-0.114169265574589,-0.546513860586397,-0.352597095151466,0.0945694398046984,0.312128615726816
"Cropland","Soil_carbon_service","Soil carbon","Function","Function",-0.474675709298235,0.197015794524659,-0.495780089198083,-0.771306965061835,-0.655040613199646,-0.292027498782144,-0.0486243869458561
"Cropland","Soil_stability_service","Soil stability","Function","Function",0.155929311630045,0.232407322841791,0.161427560564767,-0.230999437984153,-0.0699458130098357,0.373162132879466,0.609315974827672
"Grassland","Arbuscularmycorrhizal_richness","AM fungi Richness","Richness","Fungi",0.668353390125976,0.245431731784354,0.675478082429836,0.274012915761968,0.420380241933442,0.903361809306793,1.1370419263609
"Grassland","Bac_JaccDist_av","Bacterial Dissimilarity","Dissimilarity","Bacteria",-0.145340999770711,0.239402476704929,-0.147072845367523,-0.532347785044752,-0.36336292222866,0.0724606788809564,0.329948149654018
"Grassland","Bac_richness","Bacterial Richness","Richness","Bacteria",-0.123605825063432,0.223427203420331,-0.127462200252246,-0.499418914559435,-0.32636402069883,0.0773136499180517,0.318565135133948
"Grassland","Bac_shannonDiv","Bacterial Shannon","Shannon","Bacteria",-0.573646915555962,0.210306695667474,-0.581322822509862,-0.927576151268127,-0.771883417493492,-0.369307824741352,-0.154470516488953
"Grassland","Decomposer_richness","Decomposer Richness","Richness","Decomposers",0.251837532989766,0.173827536938332,0.240944842831508,-0.0204612434950808,0.079240483578688,0.429880641068005,0.576375150046485
"Grassland","Ectomycorrhizal_richness","EM fungi Richness","Richness","Fungi",-0.162926902942689,0.279113346354652,-0.241008099815991,-0.495101046980995,-0.417353106121214,0.154754089847638,0.43665966165741
"Grassland","Fungi_JaccDist_av","Fungal Dissimilarity","Dissimilarity","Fungi",0.473233926600785,0.212900485058711,0.468545584438702,0.133998019418978,0.272047957788526,0.671533139070979,0.903500057075772
"Grassland","Fungi_richness","Fungal Richness","Richness","Fungi",0.0729740482335382,0.228971253930496,0.0738444261805773,-0.294191851300781,-0.150610019900913,0.29447707992032,0.543610714305897
"Grassland","Fungi_shannonDiv","Fungal Shannon","Shannon","Fungi",-0.0983304836654565,0.214982466973404,-0.100790705104801,-0.44067741320047,-0.300443646167421,0.107152249220603,0.336911509802931
"Grassland","Invertebrate_JaccDist_av","Invertebrate Dissimilarity","Dissimilarity","Invertebrates",-0.22678805632547,0.232130503985628,-0.222980711997491,-0.625015179892192,-0.445888057578514,0.000911501050727535,0.217789188460954
"Grassland","Invertebrate_richness","Invertebrate Richness","Richness","Invertebrates",0.0936704774464167,0.328639710399558,0.0310780859022265,-0.367215195085319,-0.220998007971002,0.467236718181756,0.775456147782887
"Grassland","Invertebrate_shannonDiv","Invertebrate Shannon","Shannon","Invertebrates",0.00492986594804925,0.249314499528936,0.00783582794586291,-0.413121068742253,-0.240714197336998,0.242374417057369,0.469259808241121
"Grassland","Nematode_richness","Nematode Richness","Richness","Nematodes",0.145919986456544,0.219466980125767,0.144400603664029,-0.224236867758548,-0.0668373825652931,0.362475976240451,0.573984918805255
"Grassland","Nutrient_service","Nutrient cycling","Function","Function",0.114916859829577,0.201998336399859,0.118924321807212,-0.214171263141817,-0.0861951805464515,0.315427647552938,0.500251192427266
"Grassland","OM_decomposition_service","Decomposition (OM)","Function","Function",0.522954776920382,0.262465198035865,0.516041963045576,0.100076875449165,0.264063548251595,0.789406605962752,1.05409088042694
"Grassland","Pathogen_control","Pathogen control","Function","Function",0.329665445462235,0.224877666799236,0.34196870408638,-0.063486658289129,0.117234632375601,0.541287980844431,0.725664131982857
"Grassland","Protist_JaccDist_av","Protist Dissimilarity","Dissimilarity","Protists",0.379787368841539,0.233057495013622,0.382687152195924,-0.0101376158393564,0.158330176658067,0.598312853053087,0.845853674358608
"Grassland","Protist_richness","Protist Richness","Richness","Protists",-0.247029195461543,0.24042944864834,-0.247991768038371,-0.635450091079221,-0.464646337153587,-0.0116871197969661,0.20921221608043
"Grassland","Protist_shannonDiv","Protist Shannon","Shannon","Protists",0.109075138318779,0.261809423862345,0.118006954647573,-0.340464416515902,-0.15002243798948,0.356628581124923,0.578520819144747
"Grassland","Soil_carbon_service","Soil carbon","Function","Function",0.333683789017293,0.24505937417673,0.310596902615175,-0.00932152895605726,0.0755059440472935,0.603734214858878,0.761079998905982
"Grassland","Soil_stability_service","Soil stability","Function","Function",-0.110537947854459,0.228129988075241,-0.103542132648468,-0.481583838165216,-0.329355950687034,0.111255549689898,0.318939515763904
"Woodland","Arbuscularmycorrhizal_richness","AM fungi Richness","Richness","Fungi",0.0407982807722682,0.304834432721764,0.0333965473576108,-0.462572269552091,-0.240961711078489,0.341806334314688,0.643792142151594
"Woodland","Bac_JaccDist_av","Bacterial Dissimilarity","Dissimilarity","Bacteria",0.17109279602652,0.268957433138213,0.168175901439278,-0.272199930975319,-0.0764344213967549,0.424802757179954,0.69683543801185
"Woodland","Bac_richness","Bacterial Richness","Richness","Bacteria",-0.176449519213149,0.255753728353614,-0.17416463178653,-0.610125966742202,-0.425485244516521,0.0571777072853409,0.325161907737137
