LC,PA_rank,emmean,lower.HPD,upper.HPD,fns,scale
Dryland,1,10.202654965597095,-11.554404919548453,31.449634194276197,Soil_carbon_service,global
Dryland,10,12.024137227702973,1.33066440646598,23.207540198050058,Soil_carbon_service,global
Dryland,3,25.457553716534846,16.418611467617975,33.831233686506096,Soil_carbon_service,global
Dryland,5,18.39945373119425,4.8948554576457575,31.71771139453136,Soil_carbon_service,global
Dryland,6,11.809469571420259,0.6409053742459934,22.499549780231174,Soil_carbon_service,global
Dryland,8,25.151177946700706,18.09794983017663,32.47369630181658,Soil_carbon_service,global
Dryland,9,3.0055989763446402,-35.05096448007781,41.70043274364836,Soil_carbon_service,global
Dryland,Unprotected,16.78447179710649,13.816884258700487,19.675497654207465,Soil_carbon_service,global
Dryland,1,-0.5838213821402674,-1.49241762255946,0.2823308872493906,OM_decomposition_service,global
Dryland,10,-0.42296012367266606,-0.8689836192650093,0.018618767381278434,OM_decomposition_service,global
Dryland,3,0.28781803574232123,-0.0655366187553855,0.6411642583222013,OM_decomposition_service,global
Dryland,5,0.2221298009675989,-0.3230767738597362,0.750592485570271,OM_decomposition_service,global
Dryland,6,-0.3769654530884009,-0.8214225811869607,0.0628815867193932,OM_decomposition_service,global
Dryland,8,0.24452662693599947,-0.041886849711263385,0.5370834671642051,OM_decomposition_service,global
Dryland,9,-0.5682850854359334,-2.0620689935326397,0.9726733246338475,OM_decomposition_service,global
Dryland,Unprotected,-0.0640558214497382,-0.18388129810835974,0.056980559817727316,OM_decomposition_service,global
Dryland,1,23.14145848281643,-7.342278739406332,53.349533736577996,Soil_stability_service,global
Dryland,10,50.42422786542794,35.37590211538654,66.12245222852457,Soil_stability_service,global
Dryland,3,49.21659571985997,37.13713239145977,61.30681252264769,Soil_stability_service,global
Dryland,5,57.47560369477022,38.8345328055207,75.87573171063282,Soil_stability_service,global
Dryland,6,43.896680976296494,28.79444483780636,59.39600615414861,Soil_stability_service,global
Dryland,8,32.90672465898774,23.110763533139444,42.863008059713614,Soil_stability_service,global
Dryland,9,31.163918375691814,-21.882250914073325,84.3699310567589,Soil_stability_service,global
Dryland,Unprotected,42.581041895606766,38.560494622016954,46.76528278670808,Soil_stability_service,global
Dryland,1,0.0791079195403654,-0.5783195248535139,0.7404010973375327,Nutrient_service,global
Dryland,10,-0.13253403283460075,-0.4632428022024432,0.18679178271502414,Nutrient_service,global
Dryland,3,0.24618237230544635,-0.009497437585901103,0.5067228815355664,Nutrient_service,global
Dryland,5,0.08055809714221841,-0.31642021553763633,0.4889260596831683,Nutrient_service,global
Dryland,6,-0.4405595224712813,-0.7612082766542714,-0.11211887550701383,Nutrient_service,global
Dryland,8,0.3592478683379442,0.1342607662668362,0.5606720162419578,Nutrient_service,global
Dryland,9,-0.6191350344476174,-1.7585458905472227,0.48896092749547276,Nutrient_service,global
Dryland,Unprotected,0.0046983744120378534,-0.08716819758073269,0.08891673284129281,Nutrient_service,global
Dryland,1,0.9628709008769625,0.9525884251027549,0.9734645689507033,Pathogen_control,global
Dryland,10,0.9721250930779841,0.9669843355601656,0.9773473635040241,Pathogen_control,global
Dryland,3,0.9631370662880071,0.9590481500025642,0.9672740581827207,Pathogen_control,global
Dryland,5,0.9645341388592035,0.958086708661258,0.970820369584031,Pathogen_control,global
Dryland,6,0.9697135150567832,0.9645144426805154,0.9749820281669381,Pathogen_control,global
Dryland,8,0.9664942672277592,0.9630362380813342,0.9698373060424237,Pathogen_control,global
Dryland,9,0.9795155196939275,0.9614047262800155,0.997375366275505,Pathogen_control,global
Dryland,Unprotected,0.9675693889001975,0.9661630418077393,0.9689729062653095,Pathogen_control,global
Dryland,1,4725.410329504341,4057.599937852569,5389.827238521042,Bac_richness,global
Dryland,10,4295.892750850753,3967.4200686036356,4627.036107824972,Bac_richness,global
Dryland,3,4202.887528265861,3938.653257582205,4470.791967166827,Bac_richness,global
Dryland,5,4507.878662047977,4111.648004778521,4918.759639497079,Bac_richness,global
Dryland,6,3507.5481267840332,3167.991537021727,3831.2189642506964,Bac_richness,global
Dryland,8,4498.938956073076,4277.305868276375,4711.64154780346,Bac_richness,global
Dryland,9,4140.501373115087,2949.6823645486415,5270.355879276912,Bac_richness,global
Dryland,Unprotected,4238.342129459215,4147.492028645998,4328.5559093096535,Bac_richness,global
Dryland,1,259.300605192335,173.73388595905544,344.6181218732414,Fungi_richness,global
Dryland,10,287.56006646372435,245.12543675949473,330.0032894939651,Fungi_richness,global
Dryland,3,263.06668256422313,229.65327374823892,295.91510655987014,Fungi_richness,global
Dryland,5,325.0542490609073,272.48594900456203,376.74426128776827,Fungi_richness,global
Dryland,6,288.27337303921877,245.8494244770592,329.294128442231,Fungi_richness,global
Dryland,8,337.01206440148036,309.941875212631,364.4288071914745,Fungi_richness,global
Dryland,9,290.98383044741684,143.99917924714904,434.7115683721979,Fungi_richness,global
Dryland,Unprotected,281.73367616144895,270.3648387060998,292.8090808898494,Fungi_richness,global
Dryland,1,70.90002202461511,42.18029997634373,101.27646677767058,Invertebrate_richness,global
Dryland,10,70.7360537685736,55.695481152982886,85.43682281715101,Invertebrate_richness,global
Dryland,3,58.16782559138024,46.388736703328156,70.05813466335732,Invertebrate_richness,global
Dryland,5,80.14829434325269,61.56324575698774,98.01550513117024,Invertebrate_richness,global
Dryland,6,50.394526891928834,35.6622013277139,65.72775770539074,Invertebrate_richness,global
Dryland,8,75.62401912197052,66.16776768712755,85.55648241431098,Invertebrate_richness,global
Dryland,9,50.87117663935866,-1.907621156538326,101.46049326367643,Invertebrate_richness,global
