LC,PA_rank_rev.trend,lower.HPD,upper.HPD,fns,scale
Grassland,1.1372389041921451,-0.1388155625249965,2.4346821936687775,Soil_carbon_service,global
Shrubland,1.0937220186149261,-0.20873039892489942,2.4032510513416128,Soil_carbon_service,global
Woodland,-2.7557689710956765,-4.941151869060377,-0.3738110399544894,Soil_carbon_service,global
Grassland,0.006435240154087918,-0.04810490337777651,0.05994494467613798,OM_decomposition_service,global
Shrubland,0.059207304628259294,0.005510457582747819,0.11417686894720447,OM_decomposition_service,global
Woodland,-0.07018647083074026,-0.16737151014067386,0.02172013219400526,OM_decomposition_service,global
Grassland,-0.3952713780895465,-2.1037245707339025,1.3365941556994585,Soil_stability_service,global
Shrubland,1.6328324326552774,-0.03763414960849332,3.4247641368756376,Soil_stability_service,global
Woodland,-4.7842083806294795,-7.830486699413086,-1.7215114944647212,Soil_stability_service,global
Grassland,0.016765562749126328,-0.03270736304917543,0.06786599654544379,Nutrient_service,global
Shrubland,0.036682754189655054,-0.012341884661442037,0.0890676613259398,Nutrient_service,global
Woodland,-0.07624861164353192,-0.16362791364151263,0.01240320293798014,Nutrient_service,global
Grassland,-6.369070426543999e-4,-0.0012925994947323716,7.5284127518671085e-6,Pathogen_control,global
Shrubland,-1.0627571981558503e-5,-6.798674805423843e-4,6.431548816010491e-4,Pathogen_control,global
Woodland,-0.0014119278651207878,-0.002540350957289661,-2.4851092605615577e-4,Pathogen_control,global
Grassland,-4.124374881503172,-45.97772177081788,36.616397023317404,Bac_richness,global
Shrubland,47.35736030191765,4.419491266657133,89.40251383837312,Bac_richness,global
Woodland,-151.60045566651388,-225.38607706670882,-77.10118371387944,Bac_richness,global
Grassland,-6.581271893724988,-11.764834030174825,-1.8512910355020722,Fungi_richness,global
Shrubland,9.105116583130439,4.210767279917491,14.013353677142732,Fungi_richness,global
Woodland,-6.125537485970199,-14.661241465077183,2.6004865260983934,Fungi_richness,global
Grassland,0.5974445503356947,-1.2248381070239702,2.4439858188925427,Invertebrate_richness,global
Shrubland,0.9983118638056112,-0.8822923027701108,2.8719925988125397,Invertebrate_richness,global
Woodland,-1.5287544416814853,-4.819150553757936,1.6712180571748831,Invertebrate_richness,global
Grassland,-7.192104713351,-13.700618437447702,-0.7617179797744029,Protist_richness,global
Shrubland,0.3528708301309962,-6.271401470650744,6.738501492043724,Protist_richness,global
Woodland,8.102536308917479,-3.3282414624409284,19.175529976637335,Protist_richness,global
Grassland,0.007737906206102707,-1.1282938947565526,1.157407518709988,Nematode_richness,global
Shrubland,0.6040731681289344,-0.5280573624986573,1.7664185697904031,Nematode_richness,global
Woodland,-1.3548108991392382,-3.358355567824219,0.6210201449521264,Nematode_richness,global
Grassland,-0.0030173399503041765,-0.02682525270051883,0.019890172693408203,Bac_shannonDiv,global
Shrubland,0.026149050960214026,0.0028317466726548446,0.04952906354276365,Bac_shannonDiv,global
Woodland,-0.09326864690228831,-0.13330771847654432,-0.05228671234851845,Bac_shannonDiv,global
Grassland,-0.028650478341631924,-0.06323790087486714,0.006318068288521772,Fungi_shannonDiv,global
