LC,PA_rank.trend,lower.HPD,upper.HPD,fns,scale
Cropland,-0.330452593547534,-4.271769896257865,3.6055006497895192,Soil_carbon_service,continental
Grassland,-2.5240169972425974,-6.17291877554635,1.1165402247170277,Soil_carbon_service,continental
Shrubland,-6.148924335951506,-14.953949507980724,2.8908259257032114,Soil_carbon_service,continental
Woodland,1.4956515180356291,-1.6362334392779303,4.7730133176100935,Soil_carbon_service,continental
Cropland,0.0021723803277033937,-0.05956732818184918,0.06346581759132874,OM_decomposition_service,continental
Grassland,-0.024548014664995677,-0.08154833360718428,0.03366552935833944,OM_decomposition_service,continental
Shrubland,-0.034569277878010674,-0.17437116744106795,0.10642316873499169,OM_decomposition_service,continental
Woodland,0.02467483725940056,-0.02539806470811712,0.07542258771807298,OM_decomposition_service,continental
Cropland,-0.030239925330875828,-0.10355961338884256,0.042718845986200904,Soil_stability_service,continental
Grassland,-0.0011474429120177376,-0.06839079682661264,0.06765243393692089,Soil_stability_service,continental
Shrubland,-0.12446223705165504,-0.28612680323453255,0.04144647289161618,Soil_stability_service,continental
Woodland,-0.01735799146157735,-0.07850241528924329,0.04004970935504559,Soil_stability_service,continental
Cropland,-0.007470379454727283,-0.05511228747204555,0.04105927956722644,Nutrient_service,continental
Grassland,-0.010268786792366758,-0.05426289778633375,0.03550242584939056,Nutrient_service,continental
Shrubland,-0.18685397222824296,-0.299508288191916,-0.08091484003086791,Nutrient_service,continental
Woodland,-0.015062563678803542,-0.05335820607278663,0.025222463283220975,Nutrient_service,continental
Cropland,1.2173018065908536e-4,-0.0016298769315028494,0.0020045711250702425,Pathogen_control,continental
Grassland,-9.26385888782022e-4,-0.0026831413464663,7.160473817577895e-4,Pathogen_control,continental
Shrubland,3.4585110739016045e-4,-0.0038918455298357912,0.004371389095410905,Pathogen_control,continental
Woodland,-7.885439643615655e-4,-0.0022885043259464055,6.823266257640626e-4,Pathogen_control,continental
Cropland,-87.20492010199814,-212.09935729613062,37.79830511030741,Bac_richness,continental
Grassland,48.3112387714209,-65.9221376751666,166.45704532408854,Bac_richness,continental
Shrubland,104.4996960850549,-171.4104447622085,394.43610630877083,Bac_richness,continental
Woodland,-126.1942863293807,-229.61253911751555,-26.960839501174632,Bac_richness,continental
Cropland,0.6605748857436993,-16.58795726610697,17.549400338531996,Fungi_richness,continental
Grassland,-8.888330101708561,-25.005015117531002,6.913803320690931,Fungi_richness,continental
Shrubland,14.314636403141776,-25.780023061131942,52.46351685268746,Fungi_richness,continental
Woodland,-1.3027566917880904,-15.256388026333298,12.416745263748453,Fungi_richness,continental
Cropland,0.5771557871621553,-1.7315635476479656,2.993071989263626,Invertebrate_richness,continental
Grassland,0.3852965588362167,-1.8425588172949574,2.608812740580106,Invertebrate_richness,continental
Shrubland,2.4790034764937445,-2.817064528698211,7.9790859853219445,Invertebrate_richness,continental
Woodland,0.03666245643626098,-1.871389379340144,2.024136653604728,Invertebrate_richness,continental
Cropland,1.9347085871522722,-14.919443941660575,19.223184474809386,Protist_richness,continental
Grassland,-2.299754829811718,-17.888156545257516,13.317690226642299,Protist_richness,continental
Shrubland,7.961561142023129,-29.67627299585365,47.85360494849738,Protist_richness,continental
Woodland,-7.136277000199698,-21.044576092481293,6.243758142849401,Protist_richness,continental
Cropland,0.5595467054624805,-1.4367728088982403,2.6611701424626517,Nematode_richness,continental
Grassland,0.6495920793138339,-1.2618630056431357,2.572904031238977,Nematode_richness,continental
Shrubland,2.204916888997559,-2.514046911729565,6.8353111630922285,Nematode_richness,continental
Woodland,-0.06806849271174542,-1.7518708251936914,1.5682182912655662,Nematode_richness,continental
Cropland,-0.012881615644914746,-0.059606416698784415,0.0356571204250713,Bac_shannonDiv,continental
Grassland,0.02290354212169632,-0.021378846863058243,0.06719069578014114,Bac_shannonDiv,continental
Shrubland,-0.00901715158454408,-0.11723122932005481,0.09669575754821835,Bac_shannonDiv,continental
Woodland,-0.056680991811276726,-0.09487416473757548,-0.01797531900751892,Bac_shannonDiv,continental
Cropland,-0.02739378997173958,-0.09921096476819002,0.04557062271368295,Fungi_shannonDiv,continental
Grassland,-0.016375466569769515,-0.0824673842959669,0.05079171562584861,Fungi_shannonDiv,continental
Shrubland,0.10141392099458812,-0.06565586708086357,0.2624294015865871,Fungi_shannonDiv,continental
Woodland,0.015769176795004114,-0.04109023729392902,0.07582763715731744,Fungi_shannonDiv,continental
Cropland,0.003065514342978304,-0.08382458262002501,0.08568914140710149,Invertebrate_shannonDiv,continental
Grassland,-0.03478254247481516,-0.11433618511847499,0.04429724074338992,Invertebrate_shannonDiv,continental
Shrubland,0.08649846043491038,-0.10341691508307349,0.27878025871575574,Invertebrate_shannonDiv,continental
Woodland,0.0590365851474246,-0.010740754512710282,0.1277495752623281,Invertebrate_shannonDiv,continental
Cropland,-0.0230278628545193,-0.14147376828100278,0.09625573892492412,Protist_shannonDiv,continental
Grassland,-0.020181124109683424,-0.1271886493840384,0.09073751460812218,Protist_shannonDiv,continental
Shrubland,0.08526902316771157,-0.17870348438583505,0.3573856729678937,Protist_shannonDiv,continental
Woodland,-0.08091079385610556,-0.1775926532029075,0.013064469455457584,Protist_shannonDiv,continental
Cropland,-0.13117388376548433,-0.8561124186556981,0.6390753484523657,Ectomycorrhizal_richness,continental
Grassland,-0.030754040171757424,-0.7390031853390155,0.6630207734307305,Ectomycorrhizal_richness,continental
Shrubland,1.0057474198436012,-0.664386353609757,2.702855702572947,Ectomycorrhizal_richness,continental
