"","Longitude","Latitude","Soil_pH","Soil_salinity","Soil_texture","Elevation","AnnualTemp","AnnualPrec"
"Longitude",1,0.15,0.13,-0.3,-0.1,0.54,-0.36,-0.75
"Latitude",0.15,1,-0.18,0.08,-0.01,0.25,-0.29,0.22
"Soil_pH",0.13,-0.18,1,0.16,-0.24,-0.25,0.31,-0.3
"Soil_salinity",-0.3,0.08,0.16,1,-0.1,-0.21,0.17,0.26
"Soil_texture",-0.1,-0.01,-0.24,-0.1,1,-0.06,0.03,0.02
"Elevation",0.54,0.25,-0.25,-0.21,-0.06,1,-0.97,-0.13
"AnnualTemp",-0.36,-0.29,0.31,0.17,0.03,-0.97,1,-0.05
"AnnualPrec",-0.75,0.22,-0.3,0.26,0.02,-0.13,-0.05,1
