"","Longitude","Latitude","Soil_pH","Soil_salinity","Soil_texture","Elevation","AnnualTemp","AnnualPrec"
"Longitude",1,0.51,-0.26,-0.3,-0.08,-0.36,-0.53,-0.08
"Latitude",0.51,1,-0.57,-0.28,-0.23,-0.51,-0.85,0.28
"Soil_pH",-0.26,-0.57,1,0.49,0.38,0.08,0.65,-0.45
"Soil_salinity",-0.3,-0.28,0.49,1,0.3,0.14,0.28,-0.05
"Soil_texture",-0.08,-0.23,0.38,0.3,1,0.13,0.23,0.03
"Elevation",-0.36,-0.51,0.08,0.14,0.13,1,0.11,0.08
"AnnualTemp",-0.53,-0.85,0.65,0.28,0.23,0.11,1,-0.34
"AnnualPrec",-0.08,0.28,-0.45,-0.05,0.03,0.08,-0.34,1
