"Longitude_c","Latitude_c","Soil_pH","Soil_salinity","Clay_silt_c","Elevation","AnnualTemp","AnnualPrec"
1,-0.02,0.14,0.24,0.2,-0.29,-0.05,-0.22
-0.02,1,0.2,0.2,0.27,0.01,-0.32,-0.07
0.14,0.2,1,0.24,0.14,0.12,-0.14,-0.49
0.24,0.2,0.24,1,0.18,0,-0.22,-0.19
0.2,0.27,0.14,0.18,1,-0.02,-0.19,-0.07
-0.29,0.01,0.12,0,-0.02,1,-0.3,0.11
-0.05,-0.32,-0.14,-0.22,-0.19,-0.3,1,-0.1
-0.22,-0.07,-0.49,-0.19,-0.07,0.11,-0.1,1
