"Variables","VIF_raw","VIF","Longitude","Soil_pH","Soil_salinity","Soil_texture","Elevation","AnnualTemp","AnnualPrec"
"Longitude",2.60028643701811,1.77091437188375,1,-0.270773027826999,-0.180002877020901,-0.124211780826667,-0.367607879645578,-0.503552367005077,-0.175764510446605
"Latitude",36.5688532858691,NA,NA,NA,NA,NA,NA,NA,NA
"Soil_pH",2.23780136153399,2.22606398481869,-0.270773027826999,1,0.248382863988588,0.3968607171994,0.0799541978703412,0.646773568172412,-0.351872746919989
"Soil_salinity",1.10832243632298,1.08765310297166,-0.180002877020901,0.248382863988588,1,0.140159705487047,0.110022699186095,0.208808005756137,-0.0230087830098574
"Soil_texture",1.3235448396119,1.270225951854,-0.124211780826667,0.3968607171994,0.140159705487047,1,0.130968515741325,0.245727646187202,0.0635000502788338
"Elevation",9.46504525477562,1.24822428959099,-0.367607879645578,0.0799541978703412,0.110022699186095,0.130968515741325,1,0.034947272029918,0.210662108385971
"AnnualTemp",35.7658071126554,2.30450911515747,-0.503552367005077,0.646773568172412,0.208808005756137,0.245727646187202,0.034947272029918,1,-0.233316273876148
"AnnualPrec",1.54639761191676,1.38886681246679,-0.175764510446605,-0.351872746919989,-0.0230087830098574,0.0635000502788338,0.210662108385971,-0.233316273876148,1
