"Variables","VIF_raw","VIF","Longitude","Latitude","Soil_pH","Soil_salinity","Soil_texture","AnnualTemp","AnnualPrec"
"Longitude",22.4317208966072,4.15317815472944,1,0.148047941347918,0.123429562333232,-0.230175739194222,-0.124542673352237,-0.333502915521881,-0.735469689889761
"Latitude",3.60573836385047,1.4067803930615,0.148047941347918,1,-0.170449840680794,0.0814176891455366,-0.00566019668689914,-0.308047420198097,0.223774890140066
"Soil_pH",1.46654815841013,1.44274487523728,0.123429562333232,-0.170449840680794,1,0.234490937515467,-0.284631515557297,0.320715832784525,-0.303369091603364
"Soil_salinity",1.19615845087442,1.18446643918728,-0.230175739194222,0.0814176891455366,0.234490937515467,1,-0.0873137705399051,0.170663306735072,0.15277151181477
"Soil_texture",1.18564935120534,1.14844873337022,-0.124542673352237,-0.00566019668689914,-0.284631515557297,-0.0873137705399051,1,0.0422868308666214,0.0310537313145037
"Elevation",230.814301434974,NA,NA,NA,NA,NA,NA,NA,NA
"AnnualTemp",186.087998836239,1.67795273586015,-0.333502915521881,-0.308047420198097,0.320715832784525,0.170663306735072,0.0422868308666214,1,-0.0884773827785329
"AnnualPrec",3.83457765871635,3.82800862468514,-0.735469689889761,0.223774890140066,-0.303369091603364,0.15277151181477,0.0310537313145037,-0.0884773827785329,1
