"Variables","VIF_raw","VIF","Latitude_c","Longitude_c","Soil_pH","Soil_salinity","Clay_silt_c","Elevation","AnnualTemp","AnnualPrec"
"Latitude_c",1.25164198701751,1.25164198701751,1,-0.0173912809638384,0.196517420358521,0.198324508255801,0.273409558453165,0.00696082369498878,-0.321714602857426,-0.0749786637029986
"Longitude_c",1.2728669317654,1.2728669317654,-0.0173912809638384,1,0.144124639030021,0.243936380939601,0.202291636251346,-0.287036310151898,-0.0496091560747827,-0.217917323708347
"Soil_pH",1.47911947280957,1.47911947280957,0.196517420358521,0.144124639030021,1,0.243042350372694,0.140804630790375,0.122985795709221,-0.135415593349781,-0.49268916787486
"Soil_salinity",1.18811290669025,1.18811290669025,0.198324508255801,0.243936380939601,0.243042350372694,1,0.182925651887409,0.00160148893418973,-0.21765903084387,-0.187493210602829
"Clay_silt_c",1.15384005543397,1.15384005543397,0.273409558453165,0.202291636251346,0.140804630790375,0.182925651887409,1,-0.0180595349602691,-0.1900645922023,-0.0663699364246255
"Elevation",1.28070286565994,1.28070286565994,0.00696082369498878,-0.287036310151898,0.122985795709221,0.00160148893418973,-0.0180595349602691,1,-0.297402936184634,0.111192046116895
"AnnualTemp",1.34305283231394,1.34305283231394,-0.321714602857426,-0.0496091560747827,-0.135415593349781,-0.21765903084387,-0.1900645922023,-0.297402936184634,1,-0.100096856749353
"AnnualPrec",1.44390393269841,1.44390393269841,-0.0749786637029986,-0.217917323708347,-0.49268916787486,-0.187493210602829,-0.0663699364246255,0.111192046116895,-0.100096856749353,1
