"","Longitude","Latitude","Soil_pH","Soil_salinity","Soil_texture","Elevation","AnnualTemp","AnnualPrec"
"Longitude",1,0.15,0.11,-0.22,-0.12,0.57,-0.35,-0.74
"Latitude",0.15,1,-0.17,0.08,-0.01,0.23,-0.31,0.22
"Soil_pH",0.11,-0.17,1,0.25,-0.24,-0.25,0.33,-0.31
"Soil_salinity",-0.22,0.08,0.25,1,-0.08,-0.22,0.18,0.13
"Soil_texture",-0.12,-0.01,-0.24,-0.08,1,-0.09,0.05,0.02
"Elevation",0.57,0.23,-0.25,-0.22,-0.09,1,-0.96,-0.15
"AnnualTemp",-0.35,-0.31,0.33,0.18,0.05,-0.96,1,-0.07
"AnnualPrec",-0.74,0.22,-0.31,0.13,0.02,-0.15,-0.07,1
