Order_ID,Latitude_c,Longitude_c ,Eco_c,Soil_pH,Soil_salinity,Clay_silt_c,Soil_carbon_service,OM_decomposition_service,Water_regulation_service,Soil_stability_service,Nutrient_service,Pathogen_control,Richness_bacteria,Fungi_18s_richness,Invertebrate_18s_richness,Protist_18s_richness,Ectomycorrhizal_18s_richness,Arbuscular_mycorrhizal_18s_richness,Decomposers_18s_richness,Diss_Bacteria_std,Diss_Fungi_std,Diss_Protists_std,Diss_invert_std
368,40.095551,-8.493462,Forest,6.04,79,66.86,0.162795944,0.21969956,0.361863898,0.878393271,0.177673797,0.983682984,2336.0000,175.0000,42.0000,233.0000,11.0000,0.0000,33.0000,0.4909,0.5591,0.5405,0.4871
374,41.15715,-8.48495,Forest,3.97,391,39.6,0.826805649,0.669170528,0.014741093,0.780911289,0.618203919,0.998834499,2195.0000,129.0000,48.0000,303.0000,11.0000,0.0000,39.0000,0.9138,0.7356,0.6178,0.5208
379,31.751981,35.129151,Shrubland,7.93,144,63.18,0.043435403,0.166401623,0.5369749,0.793682571,0.360944637,0.934731935,4337.0000,142.0000,34.0000,138.0000,9.0000,3.0000,18.0000,0.1573,0.5106,0.6055,0.4134
385,31.24933,34.741503,Moss_heath,8.02,163,53.16,0.026388058,0.168217764,0.400499833,0,0.140072157,0.354312354,3887.0000,185.0000,35.0000,306.0000,9.0000,10.0000,29.0000,0.1651,0.3697,0.1684,0.5703
391,31.27107,34.650329,Shrubland,8.19,144,29.5,0.016243856,0.115599025,0.401122058,0.115782449,0.081332921,0.631701632,3785.0000,207.0000,15.0000,356.0000,7.0000,17.0000,31.0000,0.1759,0.2559,0.2107,0.8273
408,35.144,-111.273,Forest,7.16,105.1,26.53555556,0.02705989,0.098736283,0.480526969,0.679913247,0.053595359,0.954545455,4652.0000,216.0000,33.0000,267.0000,6.0000,4.0000,40.0000,0.1415,0.2235,0.2648,0.4250
415,35.385,-112.136,Forest,7.39,414,71.05888889,0.117608777,0.172072166,0.623789681,0.617150484,0.046860071,0.982517483,3679.0000,106.0000,9.0000,82.0000,7.0000,0.0000,21.0000,0.2145,0.6681,0.8351,0.8443
421,39.954,-105.245,Grassland,6.1,152.2,30.33777778,0.05618114,0.059514697,0.406993235,0.96996997,0.025910014,0.98951049,3860.0000,229.0000,25.0000,484.0000,5.0000,6.0000,43.0000,0.1213,0.3322,0.1381,0.3859
428,39.958,-105.243,Grassland,5.93,145.5,32.97333333,0.088487527,0.091512369,0.444580736,0.874541208,0.035321865,0.948717949,4065.0000,202.0000,21.0000,575.0000,4.0000,2.0000,28.0000,0.1136,0.2139,0.2328,0.5552
432,39.959,-105.248,Grassland,5.7,299,33.28,0.110783484,0.199197767,0.475391793,0.96329663,0.039194165,0.975524476,3722.0000,182.0000,23.0000,609.0000,2.0000,2.0000,38.0000,0.1687,0.4899,0.2872,0.6820
436,39.94,-105.231,Grassland,5.97,229,40.84,0.086212429,0.107592132,0.432109593,0.973139806,0.018375907,0.939393939,4135.0000,199.0000,22.0000,366.0000,1.0000,2.0000,44.0000,0.1021,0.2543,0.1751,0.3330
449,39.868,-105.243,Grassland,5.92,270,36.17222222,0.108963406,0.063594491,0.146069089,0.885218552,0.014791497,0.955710956,4087.0000,179.0000,38.0000,611.0000,0.0000,3.0000,34.0000,0.0910,0.4053,0.1996,0.4080
459,-38.737,-71.656,Forest,6.02,183.9,12.68222222,0.180856491,0.160914098,0.569391628,0.997290298,0.033747032,0.990675991,3567.0000,145.0000,5.0000,279.0000,3.0000,1.0000,31.0000,0.4607,0.6193,0.5935,1.0000
463,-38.652,-71.645,Forest,5.66,104.33,7.7,0.261394948,0.264210907,0.721780779,0.882146584,0.034120713,0.968531469,3521.0000,176.0000,25.0000,305.0000,7.0000,1.0000,41.0000,0.5954,0.6630,0.4979,0.6490
467,-38.65,-71.657,Forest,5.94,30.7,6.486666667,0.0147702,0.03499605,0.247976847,0.888321912,0.00380977,0.987179487,3286.0000,218.0000,25.0000,422.0000,13.0000,3.0000,49.0000,0.5970,0.6217,0.5115,0.7829
470,-38.758,-71.643,Shrubland,5.97,40.2,7.672222222,0.048645181,0.043491807,0.413670208,0.627627628,0.003386528,0.991841492,3525.0000,129.0000,15.0000,234.0000,3.0000,0.0000,32.0000,0.4543,0.6916,0.5673,0.5834
477,-38.686,-71.614,Forest,5.79,123.2,4.916666667,0.119428855,0.085849846,0.457213518,0.936704486,0.030000663,0.928904429,3492.0000,146.0000,9.0000,277.0000,8.0000,1.0000,30.0000,0.5442,0.7650,0.5411,0.8590
490,63.974,-19.856,Moss_heath,6.07,79.8,21.61444444,0.072450191,0.066005471,0.547358862,0.172772773,0.036146877,0.94988345,3510.0000,212.0000,30.0000,358.0000,16.0000,4.0000,46.0000,0.5850,0.6830,0.4759,0.3986
496,63.906,-19.968,Moss_heath,6.39,78.1,28.79777778,0.081662234,0.186909205,0.54149009,0.064998332,0.018601338,0.997668998,3445.0000,208.0000,26.0000,387.0000,7.0000,3.0000,44.0000,0.6019,0.7832,0.4060,0.6752
501,63.981,-19.864,Shrubland,6.49,50.3,23,0.058001218,0.035360725,0.465593926,0.44307641,0.015870789,0.997668998,3813.0000,218.0000,25.0000,414.0000,17.0000,6.0000,52.0000,0.5798,0.7897,0.3951,0.5581
512,28.608193,-17.837685,Forest,6.71,28.8,17.42333333,0.030700046,0.114147179,0.466265354,0.23954955,0.006814765,0.834498834,3485.0000,202.0000,18.0000,243.0000,4.0000,5.0000,37.0000,0.4507,0.5160,0.4706,0.5020
518,28.557715,-17.80905,Forest,6.81,137.8,14.12555556,0.102138113,0.226861548,0.519780604,0.904104104,0.022713659,0.948717949,4790.0000,254.0000,55.0000,470.0000,5.0000,4.0000,54.0000,0.1926,0.2099,0.2206,0.2752
522,28.767865,-17.905426,Forest,5.97,128.5,23.93333333,0.169025984,0.280317756,0.527303077,0.364818151,0.079621734,0.796037296,3686.0000,236.0000,24.0000,281.0000,3.0000,1.0000,46.0000,0.2987,0.4901,0.3781,0.5436
525,28.697643,-17.852096,Forest,6.35,134,29.60666667,0.200548393,0.364461722,0.593177565,0.753753754,0.31582939,0.996503497,4255.0000,194.0000,46.0000,321.0000,7.0000,3.0000,35.0000,0.2096,0.6292,0.3680,0.4787
532,28.698164,-17.862893,Forest,7.12,118,44.32222222,0.045260671,0.270125627,0.401945096,0.61664331,0.043963629,0.98951049,3602.0000,213.0000,27.0000,175.0000,15.0000,3.0000,44.0000,0.2023,0.5292,0.4706,0.2981
547,-20.448,-68.094,Shrubland,8.1,439,17.23,0.021599656,0.055526783,0.416853271,0.077077077,0.007225548,0.627039627,3824.0000,144.0000,24.0000,351.0000,4.0000,4.0000,26.0000,0.2586,0.3998,0.2148,0.6561
567,-20.151,-67.811,Shrubland,8.31,540,29.32,0.060006111,0.142420282,0.331979874,0.317317317,0.024397773,0.962703963,3534.0000,154.0000,34.0000,290.0000,5.0000,8.0000,26.0000,0.3271,0.4339,0.4058,0.5132
572,-20.15,-67.809,Shrubland,7.38,91.975,21.68555556,0.011134206,0.027293518,0.410947197,0.27957958,0.007335333,0.607226107,2786.0000,114.0000,20.0000,125.0000,5.0000,2.0000,22.0000,0.4342,0.7735,0.6747,0.6423
575,46.823,11.045,Grassland,7.76,183.2,20.76777778,0.033430163,0.042029001,0.197259211,0.200867534,0.006121516,0.997668998,3082.0000,117.0000,21.0000,276.0000,1.0000,2.0000,17.0000,0.7328,1.0000,0.5450,0.7380
582,46.831,11.04,Grassland,6.76,145.4,21.91111111,0.132352182,0.092551956,0.699785315,0.507173841,0.047090042,0.977855478,3896.0000,178.0000,19.0000,342.0000,4.0000,1.0000,36.0000,0.4562,0.5315,0.4379,0.4403
587,46.834,11.039,Grassland,7.19,100.8,27.26888889,0.058911257,0.124345109,0.542857812,0.44044044,0.01378727,0.966200466,3900.0000,220.0000,20.0000,404.0000,4.0000,4.0000,44.0000,0.3980,0.5979,0.3201,0.5678
594,46.841,11.032,Grassland,5.87,101.2,14.73333333,0.152645281,0.354596878,0.683621322,0.80647314,0.009435669,0.996503497,2701.0000,162.0000,14.0000,548.0000,3.0000,3.0000,42.0000,0.6201,0.8412,0.4289,0.7711
595,47.764,11.721,Forest,5.19,188.9,59.21555556,0.130804343,0.289009725,0.611455311,0.325992659,0.023364077,0.996503497,3080.0000,224.0000,31.0000,489.0000,11.0000,6.0000,51.0000,0.5624,0.5984,0.4017,0.5430
604,32.514,-106.8,Grassland,7.35,63.3,20.89444444,0.014774363,0.04427611,0.354248883,0.431498165,0.004063392,0.907925408,3928.0000,187.0000,14.0000,384.0000,2.0000,3.0000,39.0000,0.2039,0.3104,0.1274,0.8514
609,32.52,-106.797,Grassland,8.34,125.7,12.97222222,0.013864324,0.018432465,0.362691461,0.494527861,0.007639509,0.789044289,4611.0000,247.0000,22.0000,469.0000,2.0000,2.0000,50.0000,0.1725,0.1515,0.0518,0.5687
611,32.524,-106.795,Grassland,8.18,167.3,21.10333333,0.01704946,0.057433501,0.173983061,0.327260594,0.020684957,0.831002331,4196.0000,216.0000,24.0000,281.0000,5.0000,0.0000,46.0000,0.1505,0.1255,0.2238,0.7605
617,32.527,-106.794,Grassland,8.17,210,20.47111111,0.022509695,0.060015244,0.260597195,0.477644311,0.030187665,0.629370629,4067.0000,212.0000,17.0000,279.0000,2.0000,2.0000,48.0000,0.1515,0.2346,0.2481,0.5560
634,-30.241,115.064,Shrubland,8.16,182.3,5.747777778,0.036160281,0.107546947,0.322368516,0.81981982,0.0116746,0.954545455,4018.0000,171.0000,12.0000,459.0000,10.0000,2.0000,32.0000,0.1966,0.3452,0.2420,0.8252
637,-30.229,115.068,Shrubland,6.56,71.3,3.142222222,0.025694831,0.021306046,0.27550537,0.897230564,0.004441623,0.998834499,2909.0000,120.0000,2.0000,136.0000,3.0000,3.0000,25.0000,0.3681,0.5159,0.6798,0.9698
648,-30.181,115.129,Shrubland,5.54,53.4,2.912222222,0.051175925,0.026609946,0.400365998,0.83983984,0.006742233,0.986013986,2306.0000,142.0000,10.0000,135.0000,5.0000,0.0000,20.0000,0.6154,0.6745,0.7621,0.8924
652,-25.912,153.097,Forest,6.47,25.3,5.518888889,0.029334988,0.090666099,0.328349193,0.80647314,0.003356296,0.96037296,4158.0000,233.0000,54.0000,385.0000,16.0000,8.0000,44.0000,0.4094,0.5817,0.2917,0.5017
655,-26.072,153.099,Forest,4.76,19.68,0.735555556,0.044920968,0.189641391,0.235269462,0.88655322,0.004445735,0.997668998,1922.0000,160.0000,34.0000,123.0000,13.0000,2.0000,45.0000,0.9291,0.6503,0.8440,0.6844
663,-26.018,153.081,Forest,4.28,47.2,1.951111111,0.063461453,0.125345936,0.441049525,0.88655322,0.001935412,0.995337995,1901.0000,167.0000,33.0000,125.0000,10.0000,3.0000,47.0000,0.8610,0.6868,0.8301,0.5646
669,-26.034,153.087,Forest,4.32,27.2,0.66,0.025694831,0.083441027,0.38350571,0.90657324,0.001149391,0.996503497,2335.0000,208.0000,42.0000,177.0000,10.0000,4.0000,50.0000,0.8526,0.6955,0.7759,0.6057
672,-25.913,153.082,Forest,4.8,17.1,0.624444444,0.009769148,0.052252926,0.327230147,0.69636303,0.001179623,0.98951049,1143.0000,101.0000,31.0000,72.0000,4.0000,1.0000,32.0000,0.9779,0.7863,0.9191,0.6901
679,-26.033,153.081,Forest,4.32,62.5,0.49,0.06619157,0.153334356,0.211682466,0.75308642,0.00535158,0.997668998,2109.0000,181.0000,72.0000,186.0000,9.0000,0.0000,47.0000,0.8933,0.6864,0.7304,0.5022
680,19.057,-98.567,Forest,5.57,42.6,13.73333333,0.054361062,0.095586095,0.444680206,0.641041041,0.052770431,0.982517483,4106.0000,278.0000,27.0000,230.0000,19.0000,8.0000,47.0000,0.4457,0.5663,0.5258,0.5818
686,19.082,-99.147,Forest,4.77,87,40.09444444,0.361954265,0.206126086,0.732647956,0.66966967,0.209145808,0.990675991,1033.0000,186.0000,18.0000,53.0000,10.0000,7.0000,51.0000,0.9592,0.7206,0.9969,0.8392
690,19.086,-99.179,Forest,5.74,67.9,28.37777778,0.118518816,0.25219701,0.621850002,0.710043377,0.05430882,0.991841492,4563.0000,267.0000,45.0000,388.0000,7.0000,5.0000,67.0000,0.4802,0.6572,0.4227,0.5901
695,19.095,-99.064,Forest,6.24,84.8,43.93666667,0.129439284,0.269005203,0.729278385,0.756089423,0.273685246,0.944055944,4291.0000,277.0000,42.0000,388.0000,11.0000,4.0000,64.0000,0.3791,0.5681,0.3795,0.4997
701,19.135,-99.092,Forest,5.95,84.5,35.90777778,0.204517507,0.334500242,0.733518325,0.797464131,0.060131503,0.963869464,4234.0000,245.0000,15.0000,454.0000,15.0000,1.0000,49.0000,0.3085,0.6247,0.3673,0.6252
705,19.126,-99.229,Forest,5.64,63.5,33.26444444,0.265945144,0.164153698,0.661650726,0.833833834,0.062707345,0.995337995,3906.0000,178.0000,17.0000,189.0000,13.0000,2.0000,41.0000,0.4893,0.6590,0.6552,0.7366
710,19.151,-99.266,Forest,5.59,73.2,34.41777778,0.197692214,0.135903235,0.709309637,0.740878792,0.109159196,0.981351981,4100.0000,247.0000,30.0000,259.0000,21.0000,6.0000,58.0000,0.4695,0.6508,0.5394,0.5975
