"","lc","fns","Label","Group_function","Organism","effect_mean","effect_SD","effect_median","effect_ci_2.5","effect_ci_17","effect_ci_83","effect_ci_97.5"
"1","Cropland","Arbuscularmycorrhizal_richness","AM fungi Richness","Richness","Fungi",-0.660171017807688,0.445632467059649,-0.641688947919748,-1.44494949494949,-1.03479295522196,-0.280975743474508,0.1526389531495
"2","Cropland","Bac_JaccDist_av","Bacterial Dissimilarity","Dissimilarity","Bacteria",0.903248067611718,0.436742369470425,0.938993200894238,0.186721697869591,0.451513474082046,1.33235495493932,1.64816236234305
"3","Cropland","Bac_richness","Bacterial Richness","Richness","Bacteria",-0.908232176940523,0.323606954435085,-0.936671191842173,-1.37904841604281,-1.19013674402105,-0.603670947423787,-0.232497475948855
"4","Cropland","Bac_shannonDiv","Bacterial Shannon","Shannon","Bacteria",-0.85581360607387,0.472571653582372,-0.881045666186358,-1.55856124458488,-1.26169143141345,-0.38750897486858,0.0194049035727309
"5","Cropland","Decomposer_richness","Decomposer Richness","Richness","Decomposers",-0.119538583704724,0.427181962112977,-0.0908572006198476,-0.829483242481442,-0.505829230806961,0.280409561849982,0.67408017216547
"6","Cropland","Ectomycorrhizal_richness","EM fungi Richness","Richness","Fungi",-0.623231259511073,0.370768708197026,-0.6478659559381,-1.20422559680453,-0.943041920192897,-0.291729982995789,0.166666666666667
"7","Cropland","Fungi_JaccDist_av","Fungal Dissimilarity","Dissimilarity","Fungi",-0.627228351926518,0.355144800395381,-0.626984199171474,-1.21031491644794,-0.949790737194786,-0.308962850303682,0.0739140623199292
"8","Cropland","Fungi_richness","Fungal Richness","Richness","Fungi",-0.638260348146506,0.464535680738226,-0.60900617892881,-1.44890212232497,-1.08974742571953,-0.196327975279009,0.233529318423058
"9","Cropland","Fungi_shannonDiv","Fungal Shannon","Shannon","Fungi",-0.194040921355373,0.625307002529092,-0.0806166934968395,-1.37948534580456,-0.758667626490946,0.363959721277577,0.686518889450749
"10","Cropland","Invertebrate_JaccDist_av","Invertebrate Dissimilarity","Dissimilarity","Invertebrates",1.40731113137862,0.466452408253636,1.34644909699583,0.717959115928488,0.97778666157856,1.87132637184929,2.38194236966777
"11","Cropland","Invertebrate_richness","Invertebrate Richness","Richness","Invertebrates",-1.60717732018607,0.498307654629288,-1.56460644195528,-2.42869851420815,-2.06199135095678,-1.12243566635453,-0.785009039054437
"12","Cropland","Invertebrate_shannonDiv","Invertebrate Shannon","Shannon","Invertebrates",-0.444365905789829,0.531925910943913,-0.384031040589952,-1.42316876763034,-0.886817324547504,0.0161938683894299,0.466482095312083
"13","Cropland","Nematode_richness","Nematode Richness","Richness","Nematodes",-2.13274741531406,0.754839027414847,-1.96345291512835,-3.55822906969932,-2.88632934606996,-1.42107446829145,-1.01632180940298
"14","Cropland","Nutrient_service","Nutrient cycling","Function","Function",0.422889245579589,0.395633800630791,0.462372608706398,-0.286187486712368,-0.00416632601901172,0.809487964907553,1.08966048393865
"15","Cropland","OM_decomposition_service","Decomposition (OM)","Function","Function",-0.125524438370784,0.420952417487814,-0.124654761544589,-0.86694431369106,-0.518424507114457,0.291148972155645,0.633784989833992
"16","Cropland","Pathogen_control","Pathogen control","Function","Function",-0.937945399438719,0.482735726152426,-0.868183382041047,-1.75714568676488,-1.39591428498594,-0.511783178365284,-0.0968164380340851
"17","Cropland","Protist_JaccDist_av","Protist Dissimilarity","Dissimilarity","Protists",0.408046399850003,0.405579431133285,0.418800779038196,-0.25826194831485,-0.000816646711801121,0.819291917954879,1.12575154832089
"18","Cropland","Protist_richness","Protist Richness","Richness","Protists",-1.05166031965785,0.481168921094339,-1.06191697397237,-1.84855895050389,-1.49486574618653,-0.561581903406143,-0.186757481306055
"19","Cropland","Protist_shannonDiv","Protist Shannon","Shannon","Protists",-0.574905748251701,0.528155132482409,-0.513577378809798,-1.55175108442376,-1.03978054569351,-0.106727740452477,0.35481353620786
"20","Cropland","Soil_carbon_service","Soil carbon","Function","Function",-0.686870162617007,0.417756416776497,-0.683551225065135,-1.40418657166401,-1.06242636120589,-0.311676794959704,0.121492357120773
"21","Cropland","Soil_stability_service","Soil stability","Function","Function",-1.46488903412576,0.482400338689286,-1.42315136279691,-2.35803019252103,-1.89875701934777,-1.02255589009635,-0.649922826305099
"22","Grassland","Arbuscularmycorrhizal_richness","AM fungi Richness","Richness","Fungi",-1.52894576848738,0.524620391636161,-1.45454545454545,-2.52050415125042,-1.98455575342733,-1.08200356160092,-0.692820323027551
"23","Grassland","Bac_JaccDist_av","Bacterial Dissimilarity","Dissimilarity","Bacteria",0.31976178019095,0.421117682411148,0.286203727882208,-0.32420133703175,-0.081402289045516,0.741984628700275,1.1874926477973
"24","Grassland","Bac_richness","Bacterial Richness","Richness","Bacteria",-1.14251472994609,0.357242941963467,-1.11664604493552,-1.7644935066015,-1.48220378303633,-0.812628319433356,-0.518531911787125
"25","Grassland","Bac_shannonDiv","Bacterial Shannon","Shannon","Bacteria",-1.23902124434438,0.345860691093772,-1.20713021768698,-1.83439732734455,-1.60024229027046,-0.908679464708432,-0.657982173764339
"26","Grassland","Decomposer_richness","Decomposer Richness","Richness","Decomposers",0.754500763275409,0.664050038834701,0.642345273086627,-0.0964734962076494,0.118365991234437,1.37738169175336,2.25866315394826
"27","Grassland","Ectomycorrhizal_richness","EM fungi Richness","Richness","Fungi",1.07959035594939,0.137429392772917,1.09026567646745,0.859726953621095,0.94528533069949,1.20885316182356,1.31215970270369
