PA,PA_type,Grassland,Shrubland,Woodland
1,Ia,2,1,NA
1,II,11,8,NA
1,IV,2,4,2
1,V,2,4,6
0,Not Reported,1,8,19
0,Not Assigned,NA,1,NA
0,Not Applicable,3,5,4
0,NA,44,83,38
