"","lc","fns","Label","Group_function","Organism","lower_mean","lower_SD","effect_mean","effect_SD","upper_mean","upper_SD"
"37","Woodland","Diss_Bacteria_std","Bacterial dissimilarity","Dissimilarity","Bacteria",-0.140426205647851,0.282389796071097,0.601146896464724,0.302530389745449,1.33282758327433,0.31830884552851
"38","Woodland","Diss_Fungi_std","Fungal dissimilarity","Dissimilarity","Fungi",-0.348424769216822,0.298725044125819,0.381814822302628,0.312125668322509,1.10561731481539,0.320579979487794
"39","Woodland","Diss_invert_std","Invertebrate dissimilarity","Dissimilarity","Invertebrates",-0.393224531859736,0.295073168440298,0.334941949233299,0.307752379908232,1.05744319996453,0.315516912033966
"40","Woodland","Diss_Protists_std","Protist dissimilarity","Dissimilarity","Protists",-0.243578536675079,0.284471133119769,0.491651556935411,0.301396107857828,1.21867826876952,0.313733494531046
"41","Woodland","Ectomycorrhizal_18s_richness","EM fungi richness","Richness","Fungi",-0.620117074852742,0.302083861026376,0.101375719839281,0.308730315123382,0.821146464334249,0.310249270612016
"42","Woodland","Fungi_18s_richness","Fungal richness","Richness","Fungi",-0.965730956104601,0.31188634430888,-0.244929210895197,0.306682891311612,0.480038525827717,0.296478255436614
"43","Woodland","Invertebrate_18s_richness","Invertebrate richness","Richness","Invertebrates",-0.443117808705513,0.303697584256572,0.283349415452275,0.314926664233962,1.00501201834172,0.321062807066145
"44","Woodland","Nutrient_service","Nutrients","Service","Service",-0.662794368115498,0.243914340506213,0.0563948844121548,0.2466189860998,0.774597324003023,0.245118921615728
"45","Woodland","OM_decomposition_service","Decomposition (OM)","Service","Service",-0.456442910963557,0.249848969808476,0.2680147441998,0.256168677467435,0.987839441752755,0.258251289678725
"46","Woodland","Pathogen_control","Pathogen control","Service","Service",-0.391741799314492,0.251841959216619,0.335267487458958,0.259666965529108,1.0565172051309,0.263159494203633
"47","Woodland","Protist_18s_richness","Protist richness","Richness","Protists",-1.06959579501554,0.315365257606987,-0.346853283857349,0.30671249289462,0.381746036928696,0.293216226286901
"48","Woodland","Richness_bacteria","Bacterial richness","Richness","Bacteria",-1.52513241858361,0.338744513973136,-0.78300215774777,0.316772681117162,-0.0283754317757127,0.290691590731376
"49","Woodland","Soil_carbon_service","Soil carbon","Service","Service",-0.769599456204764,0.276330257120935,-0.050624007743092,0.276906149676677,0.669219604868601,0.272784323656957
"50","Woodland","Soil_stability_service","Soil stability","Service","Service",-0.791629877058345,0.293020362938028,-0.0722873388919071,0.293318290049687,0.648297724699173,0.288742996871779
"51","Woodland","Water_regulation_service","Water regulation","Service","Service",-1.13707016669056,0.270268648458734,-0.4137036278267,0.261768729747882,0.316680681989774,0.249133915101515
