LC,PA_rank_rev.trend,lower.HPD,upper.HPD,fns,scale,Group_function,scale_icon,significance
Woodland,0.18214829268163155,-0.4864868796207702,0.8607201292743412,Nematode_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,0.2002800438311851,-0.5899374094246923,0.9571238956100389,Nematode_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,-0.20809602541160643,-0.4026630935250069,-0.0094687333879051,Arbuscularmycorrhizal_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,Grassland
Cropland,0.23018657872233916,-0.2687720062082235,0.7435383804446474,Arbuscularmycorrhizal_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,0.23692889384108184,-0.1215712164469096,0.5996435208846833,Decomposer_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Dryland,0.258000590305528,-1.0523741851602608,1.4554733380764446,Soil_stability_service,global,Function,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Cropland,-0.2971509268943464,-1.259038361972216,0.6266107766477944,Nematode_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,0.31272279667268776,-3.596217750568485,4.252162851039884,Soil_carbon_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,0.34451422596885095,-0.7937334925954929,1.459730896196561,Invertebrate_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,0.3718509728512345,0.14383582232937897,0.605081764205579,Ectomycorrhizal_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,Woodland
Grassland,0.37293172371624905,-0.18622239968840404,0.9077224686761838,Soil_carbon_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,0.3812805273153117,-0.17765143145038564,0.9359994302692484,Decomposer_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,0.4213664412303899,0.0680060883277065,0.7677041556959807,Ectomycorrhizal_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,Grassland
Dryland,0.5048849857930691,-0.7542910808069792,1.76370788906479,Invertebrate_richness,global,Richness,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Dryland,0.6236248598047496,-0.28500890916802746,1.533666554175852,Soil_carbon_service,global,Function,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Dryland,0.6446645556898147,-3.02047791820587,4.175296173114475,Fungi_richness,global,Richness,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Grassland,0.6866520770190618,-0.33433557326497976,1.7150716336595906,Nematode_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,0.739653473807266,-39.52500475558918,42.926089912012685,Bac_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,0.8157515658999728,-1.4271409541547655,2.9032604135568363,Decomposer_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,0.828049046876913,-3.9797563451829774,5.686280479458219,Fungi_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,1.084401768675434,-0.6632384031354377,2.7632514718789025,Invertebrate_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-1.1662166163805523,-10.255670589693182,8.59037525880558,Protist_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,1.1951387649769458,-7.320946932064544,10.021752472413937,Fungi_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Dryland,-1.2839893265336286,-30.30448680347763,27.30336369923316,Bac_richness,global,Richness,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Cropland,-1.3453292017802596,-7.022402676491765,4.537895708210272,Fungi_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,-1.4065988904512778,-4.638289022848767,1.821405416194466,Soil_carbon_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,1.4830926693882702,-0.8623873547562653,3.807174778346052,Decomposer_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-1.499772153269987,-2.6971813428640417,-0.3202248358106772,Nematode_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,Cropland
Dryland,-1.5155302455350466,-5.750108525695396,2.850529270566767,Protist_richness,global,Richness,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Cropland,-1.6980988467330462,-5.073701804431039,1.728554840603465,Invertebrate_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-1.722837809376415,-3.655326979093843,0.19508956380059317,Decomposer_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,1.7656111200303712,-1.3558209383045323,4.96542084758039,Fungi_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,2.072304429292217,-0.7779781577191898,4.81838745229652,Invertebrate_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-2.1932657339707475,-4.202422017682238,-0.16511648254208922,Invertebrate_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,Cropland
Grassland,2.5234447317182003,-1.2422557102013343,6.186109286766623,Soil_carbon_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,-3.8635303602713975,-12.37719773763456,5.1386418463880545,Protist_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,-4.117945131052693,-15.987777570662727,7.443758790657739,Protist_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,4.4566430745417165,-3.2405856366785883,12.171348389449122,Protist_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-5.997827248251269,-13.705950859563018,1.7746065360443026,Protist_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-6.531084440561244,-36.51714887935668,25.809739906457253,Bac_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-11.656259909905202,-25.580149473615165,2.124551725362835,Protist_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,-17.480056338798022,-45.672878227662295,12.53654061886482,Bac_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,39.05283414523001,13.950908169790637,64.6633850276703,Bac_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,Woodland
Grassland,-51.81077311237459,-111.61934556043708,13.246396357542835,Bac_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-63.91562965331832,-138.32987256313208,7.048011128732469,Bac_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
