PA,PA_type,Cropland,Grassland,Shrubland,Woodland
1,II,NA,1,1,2
1,IV,1,4,NA,2
1,V,13,13,NA,20
1,VI,2,NA,NA,4
0,Not Reported,16,22,7,15
0,Not Assigned,4,5,NA,5
0,NA,302,125,21,200
