"lc","lower","effect","upper","fns","run","Label","Label_short","Group_function","Organism"
"Dryland",-0.446223731577918,-0.00238683010112039,0.441465748073572,"Soil_carbon_service",3,"Soil carbon","Soil carbon","Function","Function"
"Dryland",-0.546222848329743,-0.102412956614942,0.34206178715505,"OM_decomposition_service",3,"Decomposition (OM)","Decomposition (OM)","Function","Function"
"Dryland",0.124046870430039,0.579135993714079,1.03057073025406,"Soil_stability_service",3,"Soil stability","Soil stability","Function","Function"
"Dryland",-0.860177401592341,-0.412850147890403,0.037131573631821,"Nutrient_service",3,"Nutrient cycling","Nutrient cycling","Function","Function"
"Dryland",-1.00742700135616,-0.556636816778367,-0.102323387135554,"Pathogen_control",3,"Pathogen control","Pathogen control","Function","Function"
"Dryland",-1.10021183131621,-0.646673067234354,-0.189097145048652,"Bac_richness",3,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Dryland",-0.924437938295612,-0.475737106468135,-0.0239960226376662,"Fungi_richness",3,"Fungal Richness","Fungal R","Richness","Fungi"
"Dryland",-0.58790524588537,-0.143943604979289,0.300959839219599,"Invertebrate_richness",3,"Invertebrate Richness","Invertebrate R","Richness","Invertebrates"
"Dryland",-0.728960902445447,-0.283760731649536,0.163286150512634,"Protist_richness",3,"Protist Richness","Protist R","Richness","Protists"
"Dryland",-1.01875935337146,-0.567656954890432,-0.112972079100667,"Nematode_richness",3,"Nematode Richness","Nematode R","Richness","Nematodes"
"Dryland",-1.07825308831947,-0.625405831624671,-0.168632655753421,"Bac_shannonDiv",3,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Dryland",-0.556244675981349,-0.112410353741391,0.332159781611309,"Fungi_shannonDiv",3,"Fungal Shannon","Fungal S","Shannon","Fungi"
"Dryland",-1.01206946099728,-0.561152162148683,-0.106685655872542,"Invertebrate_shannonDiv",3,"Invertebrate Shannon","Invertebrate S","Shannon","Invertebrates"
"Dryland",-0.380995412692294,0.0631697871917454,0.506926511348484,"Protist_shannonDiv",3,"Protist Shannon","Protist S","Shannon","Protists"
"Dryland",-1.34311592179228,-0.880437722826315,-0.4124699077147,"Ectomycorrhizal_richness",3,"EM fungi Richness","EM fungi R","Richness","Fungi"
"Dryland",-0.776753541101894,-0.330885443985489,0.117128216384622,"Arbuscularmycorrhizal_richness",3,"AM fungi Richness","AM fungi R","Richness","Fungi"
"Dryland",-0.873478145030766,-0.425883677707747,0.0244463772545177,"Decomposer_richness",3,"Decomposer Richness","Decomposer R","Richness","Decomposers"
"Dryland",0.118220279465143,0.573097270657374,1.02435627085508,"Bac_JaccDist_av",3,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Dryland",-0.0572168334463086,0.392236724164266,0.839161176263575,"Fungi_JaccDist_av",3,"Fungal Dissimilarity","Fungal D","Dissimilarity","Fungi"
"Dryland",0.195554526065332,0.653389515220147,1.10714776696318,"Protist_JaccDist_av",3,"Protist Dissimilarity","Protist D","Dissimilarity","Protists"
"Dryland",-0.0694739749111568,0.379667380913729,0.826362692793328,"Invertebrate_JaccDist_av",3,"Invertebrate Dissimilarity","Invertebrate D","Dissimilarity","Invertebrates"
"Dryland",-0.549395314946585,-0.105574115774274,0.338930313901944,"Soil_carbon_service",4,"Soil carbon","Soil carbon","Function","Function"
"Dryland",-0.567323815721135,-0.123452805560882,0.321228843187331,"OM_decomposition_service",4,"Decomposition (OM)","Decomposition (OM)","Function","Function"
"Dryland",0.0454870227436557,0.497899190043402,0.947136881606903,"Soil_stability_service",4,"Soil stability","Soil stability","Function","Function"
"Dryland",-0.960967315182241,-0.511389532741317,-0.0585573172330455,"Nutrient_service",4,"Nutrient cycling","Nutrient cycling","Function","Function"
"Dryland",-1.02147071861977,-0.570292654236754,-0.115514281809483,"Pathogen_control",4,"Pathogen control","Pathogen control","Function","Function"
"Dryland",-1.01184538388494,-0.560934245601086,-0.106475166616231,"Bac_richness",4,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Dryland",-0.876547761184008,-0.428888696238897,0.0215226412112918,"Fungi_richness",4,"Fungal Richness","Fungal R","Richness","Fungi"
"Dryland",-0.579105692926684,-0.135184873603657,0.309620924015169,"Invertebrate_richness",4,"Invertebrate Richness","Invertebrate R","Richness","Invertebrates"
"Dryland",-0.899341976527862,-0.451203458065922,-0.000176416871114027,"Protist_richness",4,"Protist Richness","Protist R","Richness","Protists"
"Dryland",-1.0446398223394,-0.592793929157322,-0.137220912353507,"Nematode_richness",4,"Nematode Richness","Nematode R","Richness","Nematodes"
"Dryland",-1.026295529834,-0.574981899431744,-0.120038821064765,"Bac_shannonDiv",4,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Dryland",-0.540278144743422,-0.0964849918753069,0.347935197312424,"Fungi_shannonDiv",4,"Fungal Shannon","Fungal S","Shannon","Fungi"
"Dryland",-0.917691316569464,-0.469144967092425,-0.0175983996569148,"Invertebrate_shannonDiv",4,"Invertebrate Shannon","Invertebrate S","Shannon","Invertebrates"
"Dryland",-0.428474032475357,0.015428050734054,0.459228697015948,"Protist_shannonDiv",4,"Protist Shannon","Protist S","Shannon","Protists"
"Dryland",-1.21768817039437,-0.760074843101112,-0.297799023198378,"Ectomycorrhizal_richness",4,"EM fungi Richness","EM fungi R","Richness","Fungi"
"Dryland",-0.771893767634336,-0.326099176782411,0.12181148439984,"Arbuscularmycorrhizal_richness",4,"AM fungi Richness","AM fungi R","Richness","Fungi"
"Dryland",-0.78133249322566,-0.335394154558623,0.112717906344881,"Decomposer_richness",4,"Decomposer Richness","Decomposer R","Richness","Decomposers"
"Dryland",-0.0760534858750806,0.372928309033854,0.819498390050059,"Bac_JaccDist_av",4,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Dryland",-0.256903741588023,0.188563217790856,0.632803380249739,"Fungi_JaccDist_av",4,"Fungal Dissimilarity","Fungal D","Dissimilarity","Fungi"
"Dryland",-0.0104257307834535,0.440291954708067,0.888192359454741,"Protist_JaccDist_av",4,"Protist Dissimilarity","Protist D","Dissimilarity","Protists"
"Dryland",-0.219215899128632,0.226829696528022,0.671393801636862,"Invertebrate_JaccDist_av",4,"Invertebrate Dissimilarity","Invertebrate D","Dissimilarity","Invertebrates"
"Dryland",-0.643997114293281,-0.199675141103983,0.24595157831247,"Soil_carbon_service",5,"Soil carbon","Soil carbon","Function","Function"
"Dryland",-0.680287705426329,-0.235638931189262,0.210546889211641,"OM_decomposition_service",5,"Decomposition (OM)","Decomposition (OM)","Function","Function"
"Dryland",-0.189195009605567,0.257364510225584,0.702246446968754,"Soil_stability_service",5,"Soil stability","Soil stability","Function","Function"
