lc,fns,value_mean,value_median,value_ci_2.5,value_ci_17,value_ci_83,value_ci_97.5
Dryland,Arbuscularmycorrhizal_richness,4.059657172110537,3.986284903758302,3.1236376190521473,3.5169552191326776,4.627941643042159,5.552032704853465
Dryland,Bac_JaccDist_av,0.8775461192628573,0.8771784890529541,0.8615105250999942,0.8678893283023532,0.8839639036678291,0.9039379431756461
Dryland,Bac_richness,3762.5038632647907,4016.4679838043717,2261.0811712064888,3259.077837323863,4230.709051596614,4419.346828663528
Dryland,Bac_shannonDiv,7.604995869187597,7.624392891251635,7.199929225581084,7.465088750027712,7.760226304617516,7.935783659362771
Dryland,Decomposer_richness,18.979335763237177,18.805116366773962,16.078909834382575,17.489515798926888,20.699554307824226,22.912841787307812
Dryland,Ectomycorrhizal_richness,5.348627399478076,5.027462884748845,2.811325328525117,3.8220920277023334,7.040526671883559,9.580313935136399
Dryland,Fungi_JaccDist_av,0.8338821595696335,0.8337210671634292,0.8237240436781395,0.8292613009771443,0.8388775324004367,0.8467214546888543
Dryland,Fungi_richness,262.9214811471427,272.9110344966234,158.3030458630395,219.70233323086606,308.9595164214149,341.97336780310263
Dryland,Fungi_shannonDiv,4.100590595533473,4.088082140186077,3.9094697285524442,3.9810918768634367,4.223884272790728,4.4008098246352985
Dryland,Invertebrate_JaccDist_av,0.9139641846158462,0.9142465952098342,0.9050381671995287,0.9091320340402149,0.9181199204091306,0.9259900689181925
Dryland,Invertebrate_richness,60.691682978841776,60.86292175755821,37.989863566435346,49.59927854781914,73.19292470582475,83.05243271644767
Dryland,Invertebrate_shannonDiv,2.915388409847101,2.8931077009070814,2.561268390480462,2.720496747837613,3.1364903885297997,3.358182942128604
Dryland,Nematode_richness,34.977248717657105,34.28829478826418,24.867076595548877,29.247619706007022,41.58797123952411,47.35488778960218
Dryland,Nutrient_service,0.012422002668551636,0.02209879883287877,-0.425655803905568,-0.2155189318392539,0.25118265878173307,0.4374855635080358
Dryland,OM_decomposition_service,-0.06319197264405454,-0.04871809568349425,-0.5433870342317959,-0.30933086494597495,0.18930380411617045,0.4284101002841386
Dryland,Pathogen_control,0.9672972617111528,0.9673382595872744,0.9631097008873319,0.9652339450181997,0.9691497912687566,0.97285674180802
Dryland,Protist_JaccDist_av,0.8706230167920471,0.8703587055065016,0.8612237445035933,0.8656330568038619,0.8757033909395012,0.8841509201167131
Dryland,Protist_richness,350.88291820191773,362.0280501392525,248.58364825803324,305.9749461266626,400.43445118035936,430.08666616922284
Dryland,Protist_shannonDiv,5.116622651166384,5.1074613537242,4.920758017320176,5.015760817199327,5.229406869749772,5.392527254784221
Dryland,Soil_carbon_service,17.451273936377554,17.597828929182693,8.820511379107467,13.494765370740284,21.695343776922037,26.970948020601032
Dryland,Soil_stability_service,40.42887195505094,41.20706486493722,26.217290243452542,34.125026850230626,46.664162000383484,55.48532516407141
NA,Water_regulation_service,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
