"","lc","fns","Label","Group_function","Organism","effect_mean","effect_SD","effect_median","effect_ci_2.5","effect_ci_17","effect_ci_83","effect_ci_97.5"
"1","Cropland","Arbuscularmycorrhizal_richness","AM fungi Richness","Richness","Fungi",0.350313662514804,0.219336467387229,0.356710537661133,-0.0247598068461716,0.151219164655227,0.549506377994604,0.76876972277663
"2","Cropland","Bac_JaccDist_av","Bacterial Dissimilarity","Dissimilarity","Bacteria",0.00254055231259228,0.170846053226289,0.00121775202929455,-0.283685699150501,-0.153174269367417,0.16906447941804,0.345379457338657
"3","Cropland","Bac_richness","Bacterial Richness","Richness","Bacteria",0.0519416708212215,0.244451496584213,0.0621152862937542,-0.343700133495759,-0.178025863552729,0.285034237263902,0.517982793541254
"4","Cropland","Bac_shannonDiv","Bacterial Shannon","Shannon","Bacteria",-0.0212888536628305,0.264443483163593,-0.0146603899632829,-0.462699559664938,-0.27235462068754,0.228995415397716,0.455337338334586
"5","Cropland","Decomposer_richness","Decomposer Richness","Richness","Decomposers",0.82025988271246,0.14977420929878,0.824919659653019,0.550992567257022,0.694828651222468,0.955538900592634,1.08160660297488
"6","Cropland","Ectomycorrhizal_richness","EM fungi Richness","Richness","Fungi",0.435271534202644,0.269964142889694,0.481016792827878,-0.113250911598903,0.170615258176045,0.681930147006066,0.823156753103057
"7","Cropland","Fungi_JaccDist_av","Fungal Dissimilarity","Dissimilarity","Fungi",-0.27915814446367,0.255775689557685,-0.286159404103381,-0.689490786861792,-0.510245382048833,-0.0322497436167423,0.225997901625051
"8","Cropland","Fungi_richness","Fungal Richness","Richness","Fungi",0.340762408678396,0.269609461199937,0.337691234783672,-0.0869208321466022,0.0829897931423543,0.59254974121233,0.862534889616346
"9","Cropland","Fungi_shannonDiv","Fungal Shannon","Shannon","Fungi",-0.215637982861351,0.253425275424797,-0.204026085556146,-0.638453419698012,-0.442410632220993,0.0220804622853065,0.240443204359211
"10","Cropland","Invertebrate_JaccDist_av","Invertebrate Dissimilarity","Dissimilarity","Invertebrates",0.0318054893087003,0.298666808111069,0.0227999657369363,-0.441540360469802,-0.243836084551313,0.304978975038413,0.647809938731885
"11","Cropland","Invertebrate_richness","Invertebrate Richness","Richness","Invertebrates",-0.117557277624116,0.245387031968512,-0.124013940129046,-0.520565828423225,-0.342174321509814,0.125650546850373,0.352515355500521
"12","Cropland","Invertebrate_shannonDiv","Invertebrate Shannon","Shannon","Invertebrates",-0.331406420917084,0.251974978887156,-0.323177768863083,-0.752558842613637,-0.570786689683943,-0.0934841570621116,0.12681606078987
"13","Cropland","Nematode_richness","Nematode Richness","Richness","Nematodes",-0.026922928509049,0.238596811754527,-0.0331804563285619,-0.408365039821492,-0.253630060653353,0.194897791011201,0.476163328749567
"14","Cropland","Nutrient_service","Nutrient cycling","Function","Function",-0.0818173566114917,0.20228662998382,-0.0780273666670175,-0.425025351932251,-0.267633462059309,0.114240989390449,0.290697113759376
"15","Cropland","OM_decomposition_service","Decomposition (OM)","Function","Function",-0.450129032155832,0.2759564639544,-0.450297539272103,-0.892430516418313,-0.701284253828652,-0.188709236472422,0.0887642950789808
"16","Cropland","Pathogen_control","Pathogen control","Function","Function",0.230501848857263,0.28906711698845,0.253905344943416,-0.280845962786128,-0.037745148533181,0.495896612730764,0.743273388932804
"17","Cropland","Protist_JaccDist_av","Protist Dissimilarity","Dissimilarity","Protists",0.169223503769774,0.240918042050717,0.166157970423091,-0.218411078871918,-0.0555379027568973,0.399867502617668,0.643303907390215
"18","Cropland","Protist_richness","Protist Richness","Richness","Protists",-0.0339164169863157,0.254339155826487,-0.0261313241691059,-0.450735042730292,-0.277444114483967,0.213869568787446,0.442074700490148
"19","Cropland","Protist_shannonDiv","Protist Shannon","Shannon","Protists",-0.123740781221312,0.287518450463385,-0.110869391717561,-0.620224540067302,-0.390215430366132,0.151490747039268,0.361065467371951
"20","Cropland","Soil_carbon_service","Soil carbon","Function","Function",-0.418961958236501,0.230694814844479,-0.434255147891579,-0.754444615157178,-0.631780636848249,-0.207203986383072,0.0752678860467572
"21","Cropland","Soil_stability_service","Soil stability","Function","Function",0.112300123031958,0.251282743908301,0.123947886825421,-0.310037214437393,-0.121750552938267,0.343435994164061,0.603677419167843
"22","Grassland","Arbuscularmycorrhizal_richness","AM fungi Richness","Richness","Fungi",0.665598049721294,0.272646685152006,0.666617727448953,0.223482459378485,0.412641975983822,0.938498856875921,1.16660317673632
