"","lc","fns","Label","Group_function","Organism","p_value_mean","p_value_SD","ci_lower_mean","ci_lower_SD","ci_upper_mean","ci_upper_SD","t_stats_mean","t_stats_SD"
"30","Shrubland","Protist_18s_richness","Protist richness","Richness","Protists",0.427541693990551,0.282807000354429,-37.6525333657175,23.6735815012543,94.3574333657175,23.7655743904806,0.876999931207551,0.727973452849221
"31","Shrubland","Richness_bacteria","Bacterial richness","Richness","Bacteria",0.254305255422246,0.232374880383055,-123.048239265667,130.006878314825,648.188939265667,154.702074956689,1.39017530261683,0.700482220753149
"32","Shrubland","Soil_carbon_service","Soil carbon","Service","Service",0.304684724749751,0.28012032646854,-0.00781140905662001,0.00913998655516026,0.03067836656752,0.00562316266402692,1.31455668656021,0.860252501136938
"33","Shrubland","Soil_stability_service","Soil stability","Service","Service",0.619980919765087,0.243716509222015,-0.160950912554643,0.0540642034797293,0.151027298400543,0.0519233101181891,-0.0600872164228231,0.687178963781871
"34","Shrubland","Water_regulation_service","Water regulation","Service","Service",0.593278595047337,0.278730941126688,-0.105275439143255,0.0271400014287662,0.074749660175455,0.0368399877262504,-0.396493146927493,0.732713541540017
"35","Woodland","Arbuscular_mycorrhizal_18s_richness","AM fungi richness","Richness","Fungi",0.509551755745583,0.27576306529291,-2.24640710086684,1.10100415302564,3.73700710086684,1.50676425328479,0.456982849631252,0.828664557511772
"36","Woodland","Decomposers_18s_richness","Decomposer richness","Richness","Decomposers",0.54768944395521,0.272412801639345,-5.53357396003655,2.59019467555994,6.96207396003655,2.63957673688883,0.230199025294847,0.846107929827641
"37","Woodland","Diss_Bacteria_std","Bacterial dissimilarity","Dissimilarity","Bacteria",0.452670176585446,0.291343133206098,-0.105830808132717,0.0680007644921518,0.221201858132717,0.0680905661931087,0.721688434797111,0.835815489562429
"38","Woodland","Diss_Fungi_std","Fungal dissimilarity","Dissimilarity","Fungi",0.507318973824673,0.285488268920639,-0.0933207825271963,0.0525960778505022,0.161124462527196,0.0496291017179205,0.552168993805134,0.817817049051823
"39","Woodland","Diss_invert_std","Invertebrate dissimilarity","Dissimilarity","Invertebrates",0.559316424279748,0.265056461754533,-0.115498694131957,0.0494267767490062,0.117832224131957,0.0481331460381674,0.0253711841842135,0.841863243692962
"40","Woodland","Diss_Protists_std","Protist dissimilarity","Dissimilarity","Protists",0.516890818112984,0.282196902058513,-0.117346985094388,0.0644326987564476,0.177387275094388,0.0611216361285338,0.427113566328364,0.855698329724277
"41","Woodland","Ectomycorrhizal_18s_richness","EM fungi richness","Richness","Fungi",0.532347276456777,0.286973399018725,-3.22029801414798,1.78894972313312,4.58989801414798,1.57480184173685,0.383019041262169,0.883934875217664
"42","Woodland","Fungi_18s_richness","Fungal richness","Richness","Fungi",0.550467032138636,0.277760641759759,-39.2616969793686,17.6635021486643,47.9403969793686,19.543616620021,0.184386835007139,0.865050076483149
"43","Woodland","Invertebrate_18s_richness","Invertebrate richness","Richness","Invertebrates",0.519155501162162,0.28524995766645,-11.215623213645,6.16270953052758,18.260023213645,5.97987695879976,0.49447981489799,0.83048764360044
"44","Woodland","Nutrient_service","Nutrients","Service","Service",0.523498442727058,0.272351387468712,-0.0681554239715634,0.0263662882230981,0.105838032038563,0.0472287636562365,0.342890877805464,0.838160274558867
"45","Woodland","OM_decomposition_service","Decomposition (OM)","Service","Service",0.568844670662353,0.267953399071712,-0.0791281333125179,0.0280366708827345,0.0858362870258179,0.0410134513327831,0.0148095344133613,0.843210216980727
"46","Woodland","Pathogen_control","Pathogen control","Service","Service",0.506913099191929,0.266573254677332,-0.0703212108797057,0.0312298378503078,0.100576805315306,0.0533659882974165,0.261658816105578,0.871108701093182
"47","Woodland","Protist_18s_richness","Protist richness","Richness","Protists",0.559527431594641,0.26921660174217,-82.2060146069655,37.1311842046911,93.7969146069655,37.0134297912046,0.134942694937309,0.858365895262737
"48","Woodland","Richness_bacteria","Bacterial richness","Richness","Bacteria",0.37056731083742,0.285757218536401,-939.551460771048,265.018188303069,321.694560771048,269.376965872614,-1.00831309048102,0.855448073839198
"49","Woodland","Soil_carbon_service","Soil carbon","Service","Service",0.550022525870097,0.261645681517654,-0.0849930869065297,0.0454880460030236,0.10275710973203,0.044582850514704,0.202577031394835,0.801302808369818
"50","Woodland","Soil_stability_service","Soil stability","Service","Service",0.30500285797214,0.274118402485967,-0.253801086222119,0.0626168018348418,0.0590208222900188,0.0646418665650627,-1.27510265527401,0.846339237097053
"51","Woodland","Water_regulation_service","Water regulation","Service","Service",0.36647442764936,0.284733932262554,-0.15893750513203,0.0419181191865456,0.0528859804942301,0.0428589663085897,-1.02990920244209,0.815221602117952
