lc,fns,value_mean,value_median,value_ci_2.5,value_ci_17,value_ci_83,value_ci_97.5
Cropland,Arbuscularmycorrhizal_richness,1.5876427226834506,1.6276325514883152,0.6443792092282122,1.1306276497035417,1.998240230520019,2.6881431274069754
Cropland,Bac_JaccDist_av,0.7724299609518542,0.7733380413436297,0.7448449987204526,0.7597953086532622,0.7849800509181871,0.8002247061742013
Cropland,Bac_richness,2986.1483511015917,3020.6830632879155,2610.0339941693196,2679.1424141367515,3260.9503622332572,3303.3308247228647
Cropland,Bac_shannonDiv,7.2845131526049975,7.2874869098840005,7.04214904809848,7.156364817483999,7.395426025705167,7.5976108634429185
Cropland,Decomposer_richness,14.050363685992062,13.955180466682766,12.287115102844393,13.079605702274817,15.014316315222576,16.79932590013693
Cropland,Ectomycorrhizal_richness,1.8316970070462364,1.4977587226758915,0.4556784646048071,0.968542408956358,3.080453408075656,4.153969843618167
Cropland,Fungi_JaccDist_av,0.7889526395619388,0.7890670626713594,0.772577880528116,0.7793091951742201,0.7992694050833089,0.8031814293684455
Cropland,Fungi_richness,172.74696011275265,175.17190789377867,144.3174383400019,156.78032053044586,186.24074822700695,202.5521469220331
Cropland,Fungi_shannonDiv,3.7299584276332567,3.711346884159866,3.597350740045554,3.6567490237149376,3.808830279353698,3.9760371794586233
Cropland,Invertebrate_JaccDist_av,0.9099794665466509,0.9083766537537985,0.886423900671627,0.8985316822166887,0.9246817463269221,0.9377347867354747
Cropland,Invertebrate_richness,27.44114352069762,28.825793154777568,16.720816964987677,20.779336122277773,33.165599179475095,36.5241677384167
Cropland,Invertebrate_shannonDiv,2.261834825511775,2.2691683237033846,1.8127678009269592,2.0311063501822444,2.454359620534756,2.875402862997098
Cropland,Nematode_richness,18.295945978948303,19.787813354004648,9.360509753444743,12.329265673107807,22.41933468965302,27.014572589795385
Cropland,Nutrient_service,0.1811296418012291,0.20075657035742167,-0.3102515955985763,-0.02003671403849324,0.3881394547383902,0.6863514278305812
Cropland,OM_decomposition_service,-0.30616783257556024,-0.29962273114792604,-0.5877660577815339,-0.4455494031945865,-0.165708171098988,0.02653783696021501
Cropland,Pathogen_control,0.9615656036811471,0.9622245079247749,0.9546417468643604,0.9578776499153356,0.9648045318715726,0.9682121265102908
Cropland,Protist_JaccDist_av,0.8660626504674497,0.867172060461316,0.8513260938879599,0.8602375627417307,0.8721098706449864,0.8789765785134599
Cropland,Protist_richness,297.19034375675017,299.3570390388194,222.95320667006555,246.39096358131366,346.4241785384231,363.1455558619256
Cropland,Protist_shannonDiv,4.916709191526525,4.923832444887953,4.688840072292992,4.812948695361786,5.0208017666293925,5.1564291396101
Cropland,Soil_carbon_service,3.2649436901940976,3.3524733770247837,2.1953016162946697,2.773332372327423,3.7084457610067005,4.326224381105073
Cropland,Soil_stability_service,-0.5182495331096197,-0.34893153298730717,-1.436643466123993,-1.1209532004015805,-0.07664515541045672,0.30422248003014196
Grassland,Arbuscularmycorrhizal_richness,2.5466902080800833,2.697915377574292,1.0959213368921012,1.9215863495633165,3.18810680838029,3.648011476037571
Grassland,Bac_JaccDist_av,0.7571103234442058,0.7560971704843892,0.7418610867898928,0.7495149491656192,0.7656477116811832,0.7803566118916089
Grassland,Bac_richness,2661.1619555953707,2738.774824559601,1924.8426690221424,2083.3585400160773,3133.1417454299803,3182.550125494554
Grassland,Bac_shannonDiv,7.108871266983528,7.136443675101316,6.834317744215195,6.985713246791912,7.234884413096266,7.30707313596803
Grassland,Decomposer_richness,14.623818749919224,14.490208070685993,10.753892969572737,12.810059022544948,16.56158656672289,19.834878298682774
Grassland,Ectomycorrhizal_richness,3.5666306702123407,3.149665767559389,1.712019719774834,2.120943460653512,5.048314464578522,7.773829821346016
Grassland,Fungi_JaccDist_av,0.7945444040676083,0.7928285464697422,0.7829077004902683,0.7876407870995243,0.8027463209388451,0.814671430406185
Grassland,Fungi_richness,188.1822098383077,197.4877654786103,136.3163376594859,153.86853023052902,210.56760779344054,231.17331553678758
Grassland,Fungi_shannonDiv,3.73006804751742,3.7500561249114757,3.326438321073989,3.5393745247809196,3.8854391588668955,4.171391640882919
Grassland,Invertebrate_JaccDist_av,0.8900380206284672,0.889856234533515,0.8791830672418726,0.8850428958934019,0.894590256368094,0.9047613270789279
Grassland,Invertebrate_richness,47.646450288487934,47.74853019799606,35.03425774681711,42.15092037697221,53.790473175575954,61.66332514794735
Grassland,Invertebrate_shannonDiv,2.8009989312867143,2.800496016239056,2.5040752673390694,2.6576445195131226,2.938957056386189,3.199158597289208
Grassland,Nematode_richness,30.631941165261768,30.377883709380065,26.382092040553875,28.348701808968425,32.96456290437866,37.18775606482143
Grassland,Nutrient_service,0.045431660444438804,0.04117572745302589,-0.44465235555375576,-0.17782310379522606,0.27806715893055534,0.7025053912082406
Grassland,OM_decomposition_service,0.7292264921578477,0.5266279131841192,-0.023147116854388812,0.17782416152763875,1.2605695809525719,2.6911115859205728
Grassland,Pathogen_control,0.9651323062694726,0.9650774938145191,0.9597968806737792,0.9626851447042162,0.9678869419658092,0.972110379891223
Grassland,Protist_JaccDist_av,0.8650197885901164,0.8640477288652348,0.856323561465465,0.8600143450716945,0.870769873403264,0.8795392155181446
Grassland,Protist_richness,274.6699899714949,282.208366130533,192.2827612276012,218.5800021588608,327.5911485992591,343.0593981784907
Grassland,Protist_shannonDiv,4.5269052922151705,4.545719922554564,3.9951805562261313,4.2892230412485475,4.753259542487993,5.105160675743094
Grassland,Soil_carbon_service,6.917025276684214,6.428973801043016,4.142147284895169,5.222769213453837,8.338880587038405,13.739331369718593
