id.y,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,PA
269,883,883,1,Namib-Naukluft,Namib-Naukluft,National Park,National Park,National,II,Not Applicable,0,18.64,6.2684111120455,50766,50991.1796679188,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1821,"NA-HA","NAM","NAM",Not Applicable,Not Applicable,1
270,883,883,1,Namib-Naukluft,Namib-Naukluft,National Park,National Park,National,II,Not Applicable,0,18.64,6.2684111120455,50766,50991.1796679188,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1821,"NA-HA","NAM","NAM",Not Applicable,Not Applicable,1
271,883,883,1,Namib-Naukluft,Namib-Naukluft,National Park,National Park,National,II,Not Applicable,0,18.64,6.2684111120455,50766,50991.1796679188,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1821,"NA-HA","NAM","NAM",Not Applicable,Not Applicable,1
272,883,883,1,Namib-Naukluft,Namib-Naukluft,National Park,National Park,National,II,Not Applicable,0,18.64,6.2684111120455,50766,50991.1796679188,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1821,"NA-HA","NAM","NAM",Not Applicable,Not Applicable,1
273,883,883,1,Namib-Naukluft,Namib-Naukluft,National Park,National Park,National,II,Not Applicable,0,18.64,6.2684111120455,50766,50991.1796679188,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1821,"NA-HA","NAM","NAM",Not Applicable,Not Applicable,1
274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
283,555624364,555624364,1,El Kanub,الكانوب,محمية طبيعية,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,48.9258,49.0753520218231,Not Applicable,0,Designated,0,Federal or national ministry or agency,Not Reported,EQA and MOA,Not Reported,State Verified,1901,Not Reported,PSE,PSE,Not Applicable,Not Applicable,1
284,555624364,555624364,1,El Kanub,الكانوب,محمية طبيعية,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,48.9258,49.0753520218231,Not Applicable,0,Designated,0,Federal or national ministry or agency,Not Reported,EQA and MOA,Not Reported,State Verified,1901,Not Reported,PSE,PSE,Not Applicable,Not Applicable,1
285,555624364,555624364,1,El Kanub,الكانوب,محمية طبيعية,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,48.9258,49.0753520218231,Not Applicable,0,Designated,0,Federal or national ministry or agency,Not Reported,EQA and MOA,Not Reported,State Verified,1901,Not Reported,PSE,PSE,Not Applicable,Not Applicable,1
286,555531122,555531122,1,Moura / Barrancos,Moura / Barrancos,B,Sites of Community Importance (Habitats Directive),Regional,Not Reported,Not Applicable,0,0,0,432.907684326172,433.530615832353,Not Applicable,0,Designated,2008,Federal or national ministry or agency,Not Reported,"Instituto da Conservação da Natureza e das Florestas, I.P.",Not Reported,State Verified,1832,Not Reported,PRT,PRT,Not Applicable,Not Applicable,1
286,555540912,555540912,1,Mourão/Moura/Barrancos,Mourão/Moura/Barrancos,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,849.128967285156,850.341820257162,Not Applicable,0,Designated,1999,Federal or national ministry or agency,Not Reported,"Instituto da Conservação da Natureza e das Florestas, I.P.",Not Reported,State Verified,1832,Not Reported,PRT,PRT,Not Applicable,Not Applicable,1
287,555531122,555531122,1,Moura / Barrancos,Moura / Barrancos,B,Sites of Community Importance (Habitats Directive),Regional,Not Reported,Not Applicable,0,0,0,432.907684326172,433.530615832353,Not Applicable,0,Designated,2008,Federal or national ministry or agency,Not Reported,"Instituto da Conservação da Natureza e das Florestas, I.P.",Not Reported,State Verified,1832,Not Reported,PRT,PRT,Not Applicable,Not Applicable,1
287,555540912,555540912,1,Mourão/Moura/Barrancos,Mourão/Moura/Barrancos,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,849.128967285156,850.341820257162,Not Applicable,0,Designated,1999,Federal or national ministry or agency,Not Reported,"Instituto da Conservação da Natureza e das Florestas, I.P.",Not Reported,State Verified,1832,Not Reported,PRT,PRT,Not Applicable,Not Applicable,1
288,555531122,555531122,1,Moura / Barrancos,Moura / Barrancos,B,Sites of Community Importance (Habitats Directive),Regional,Not Reported,Not Applicable,0,0,0,432.907684326172,433.530615832353,Not Applicable,0,Designated,2008,Federal or national ministry or agency,Not Reported,"Instituto da Conservação da Natureza e das Florestas, I.P.",Not Reported,State Verified,1832,Not Reported,PRT,PRT,Not Applicable,Not Applicable,1
288,555540912,555540912,1,Mourão/Moura/Barrancos,Mourão/Moura/Barrancos,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,849.128967285156,850.341820257162,Not Applicable,0,Designated,1999,Federal or national ministry or agency,Not Reported,"Instituto da Conservação da Natureza e das Florestas, I.P.",Not Reported,State Verified,1832,Not Reported,PRT,PRT,Not Applicable,Not Applicable,1
289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
292,555540913,555540913,1,Castro Verde,Castro Verde,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,853.430053710938,854.87228000933,Not Applicable,0,Designated,1999,Federal or national ministry or agency,Not Reported,"Instituto da Conservação da Natureza e das Florestas, I.P.",Not Reported,State Verified,1832,Not Reported,PRT,PRT,Not Applicable,Not Applicable,1
293,555540913,555540913,1,Castro Verde,Castro Verde,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,853.430053710938,854.87228000933,Not Applicable,0,Designated,1999,Federal or national ministry or agency,Not Reported,"Instituto da Conservação da Natureza e das Florestas, I.P.",Not Reported,State Verified,1832,Not Reported,PRT,PRT,Not Applicable,Not Applicable,1
294,555531079,555531079,1,Estuário do Tejo,Estuário do Tejo,B,Sites of Community Importance (Habitats Directive),Regional,Not Reported,Not Applicable,1,0,155.287279089971,440.112823486328,440.698049788391,Not Reported,0,Designated,2008,Federal or national ministry or agency,Not Reported,"Instituto da Conservação da Natureza e das Florestas, I.P.",Not Reported,State Verified,1832,Not Reported,PRT,PRT,Not Applicable,Not Applicable,1
294,555540884,555540884,1,Estuário do Tejo,Estuário do Tejo,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,1,0,159.223560144222,447.724609375,448.314262408647,Not Reported,0,Designated,1988,Federal or national ministry or agency,Not Reported,"Instituto da Conservação da Natureza e das Florestas, I.P.",http://,State Verified,1832,Not Reported,PRT,PRT,Not Applicable,Not Applicable,1
295,555531079,555531079,1,Estuário do Tejo,Estuário do Tejo,B,Sites of Community Importance (Habitats Directive),Regional,Not Reported,Not Applicable,1,0,155.287279089971,440.112823486328,440.698049788391,Not Reported,0,Designated,2008,Federal or national ministry or agency,Not Reported,"Instituto da Conservação da Natureza e das Florestas, I.P.",Not Reported,State Verified,1832,Not Reported,PRT,PRT,Not Applicable,Not Applicable,1
295,555540884,555540884,1,Estuário do Tejo,Estuário do Tejo,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,1,0,159.223560144222,447.724609375,448.314262408647,Not Reported,0,Designated,1988,Federal or national ministry or agency,Not Reported,"Instituto da Conservação da Natureza e das Florestas, I.P.",http://,State Verified,1832,Not Reported,PRT,PRT,Not Applicable,Not Applicable,1
296,555531079,555531079,1,Estuário do Tejo,Estuário do Tejo,B,Sites of Community Importance (Habitats Directive),Regional,Not Reported,Not Applicable,1,0,155.287279089971,440.112823486328,440.698049788391,Not Reported,0,Designated,2008,Federal or national ministry or agency,Not Reported,"Instituto da Conservação da Natureza e das Florestas, I.P.",Not Reported,State Verified,1832,Not Reported,PRT,PRT,Not Applicable,Not Applicable,1
296,555540884,555540884,1,Estuário do Tejo,Estuário do Tejo,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,1,0,159.223560144222,447.724609375,448.314262408647,Not Reported,0,Designated,1988,Federal or national ministry or agency,Not Reported,"Instituto da Conservação da Natureza e das Florestas, I.P.",http://,State Verified,1832,Not Reported,PRT,PRT,Not Applicable,Not Applicable,1
297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
303,555571010,555571010,1,Mountain Zebra-Camdeboo Protected Environment,Mountain Zebra-Camdeboo Protected Environment,Protected Environment,Protected Environment,National,Not Reported,Not Applicable,0,0,0,8932.70548346,8932.70548346,Not Applicable,0,Designated,2016,Federal or national ministry or agency,State,The Mountain Zebra-Camdeboo Protected Environment's Land Owners Association,Not Reported,State Verified,1840,ZA-EC,ZAF,ZAF,Not Applicable,Not Applicable,1
304,555571010,555571010,1,Mountain Zebra-Camdeboo Protected Environment,Mountain Zebra-Camdeboo Protected Environment,Protected Environment,Protected Environment,National,Not Reported,Not Applicable,0,0,0,8932.70548346,8932.70548346,Not Applicable,0,Designated,2016,Federal or national ministry or agency,State,The Mountain Zebra-Camdeboo Protected Environment's Land Owners Association,Not Reported,State Verified,1840,ZA-EC,ZAF,ZAF,Not Applicable,Not Applicable,1
305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
318,873,873,1,Kruger National Park,Kruger National Park,National Park,National Park,National,Not Reported,Not Applicable,0,0,0,19169.1535952,19171.6130058,Not Applicable,0,Designated,1926,Federal or national ministry or agency,State,South African National Parks,Not Reported,State Verified,1840,ZA-MP,ZAF,ZAF,Not Applicable,Not Applicable,1
319,873,873,1,Kruger National Park,Kruger National Park,National Park,National Park,National,Not Reported,Not Applicable,0,0,0,19169.1535952,19171.6130058,Not Applicable,0,Designated,1926,Federal or national ministry or agency,State,South African National Parks,Not Reported,State Verified,1840,ZA-MP,ZAF,ZAF,Not Applicable,Not Applicable,1
320,873,873,1,Kruger National Park,Kruger National Park,National Park,National Park,National,Not Reported,Not Applicable,0,0,0,19169.1535952,19171.6130058,Not Applicable,0,Designated,1926,Federal or national ministry or agency,State,South African National Parks,Not Reported,State Verified,1840,ZA-MP,ZAF,ZAF,Not Applicable,Not Applicable,1
