ID,nonPA,mahal.min,LC,times.with.error,times,n
250,1016,14.767577708170489,Shrubland,8,8,15
1089,1006,9.601883383557263,Shrubland,8,8,15
1233,2165,3.9906301799995614,Shrubland,8,8,15
1054,2162,14.846438498589961,Shrubland,8,8,15
1043,1116,16.500407119044898,Woodland,8,8,15
253,2170,15.011743999386704,Woodland,8,8,15
226,2140,8.898440878845872,Woodland,8,8,15
1044,1121,16.661138404191096,Woodland,8,8,15
1095,2155,8.339206830798394,Woodland,8,8,15
1243,2146,16.581489924262886,Grassland,9,9,15
28,1014,17.411390904204616,Grassland,9,9,15
1150,241,9.260645942802743,Grassland,9,9,15
1084,2107,10.709051623823937,Grassland,9,9,15
1153,1013,13.542063242773168,Grassland,9,9,15
1122,2218,6.015408107247841,Shrubland,9,9,15
1053,1022,17.28089882177941,Shrubland,9,9,15
1246,2106,11.679860889362269,Shrubland,9,9,15
1052,1005,16.15838105803594,Shrubland,9,9,15
1089,2164,2.5218533792807305,Shrubland,9,9,15
226,2206,13.116819724736374,Woodland,9,9,15
259,2210,16.740643666311964,Woodland,9,9,15
2138,2179,15.785806322188328,Woodland,9,9,15
1047,224,13.47064454208093,Woodland,9,9,15
240,291,6.081342681321549,Woodland,9,9,15
25,1015,16.412948612317884,Grassland,10,10,15
1085,1086,0.7086480752930443,Grassland,10,10,15
1243,1003,9.971326277480882,Grassland,10,10,15
210,283,15.702908368370052,Grassland,10,10,15
1152,2146,9.486836560629932,Grassland,10,10,15
1053,1016,14.082140325642412,Shrubland,10,10,15
1122,1006,7.10393095350153,Shrubland,10,10,15
1093,1108,17.020386072364612,Shrubland,10,10,15
1052,280,6.126772103590511,Shrubland,10,10,15
1208,2103,11.953607965420288,Shrubland,10,10,15
2138,2179,15.785806322188328,Woodland,10,10,15
253,1141,15.269517533891426,Woodland,10,10,15
1043,1116,16.500407119044898,Woodland,10,10,15
2177,2157,15.467348289306626,Woodland,10,10,15
1047,2202,17.0178183289694,Woodland,10,10,15
1226,1013,15.643208694283883,Grassland,11,11,15
1084,243,17.23979174393586,Grassland,11,11,15
26,2117,3.185547397415415,Grassland,11,11,15
1085,27,16.570895467034184,Grassland,11,11,15
1083,1091,12.835354181727615,Grassland,11,11,15
1208,1004,15.680021700696923,Shrubland,11,11,15
250,2103,13.763266949118929,Shrubland,11,11,15
1089,1006,9.601883383557263,Shrubland,11,11,15
1054,1017,13.022429512773892,Shrubland,11,11,15
1052,279,3.4761306811867323,Shrubland,11,11,15
1044,225,13.894331465488236,Woodland,11,11,15
2204,224,5.216625405515579,Woodland,11,11,15
258,257,3.7275629861070994,Woodland,11,11,15
2212,1105,16.54156750948851,Woodland,11,11,15
1043,2133,13.562001907419974,Woodland,11,11,15
1150,1003,7.025047708731009,Grassland,12,12,15
1243,1241,9.425854838510395,Grassland,12,12,15
1225,1195,15.913292947467063,Grassland,12,12,15
1232,2146,11.36491839482123,Grassland,12,12,15
25,27,1.338301430604965,Grassland,12,12,15
1122,1006,7.10393095350153,Shrubland,12,12,15
1093,1067,8.758965034332617,Shrubland,12,12,15
1223,2103,12.488911568689055,Shrubland,12,12,15
1246,2162,14.76485094897515,Shrubland,12,12,15
1054,1001,14.317588916588528,Shrubland,12,12,15
1048,2200,9.086109163604238,Woodland,12,12,15
2177,2184,17.147132368307005,Woodland,12,12,15
2185,2137,14.710860736069094,Woodland,12,12,15
2189,225,4.075186976633264,Woodland,12,12,15
2204,2133,16.027032795214485,Woodland,12,12,15
1149,241,9.058461315945834,Grassland,13,13,15
1082,1014,13.41169662038943,Grassland,13,13,15
210,2117,4.498100844288729,Grassland,13,13,15
25,1028,13.828324208176817,Grassland,13,13,15
1084,1100,14.408325999991254,Grassland,13,13,15
1224,2103,13.215524122557117,Shrubland,13,13,15
1092,1006,11.744605668152976,Shrubland,13,13,15
1245,2162,13.87206554768268,Shrubland,13,13,15
1089,2165,6.111163319121195,Shrubland,13,13,15
1233,2106,14.868540994465317,Shrubland,13,13,15
253,2170,15.011743999386704,Woodland,13,13,15
1044,1117,16.205104628375565,Woodland,13,13,15
1095,2140,17.269657102297177,Woodland,13,13,15
1045,1121,16.57539187670693,Woodland,13,13,15
2212,2201,14.62398778118828,Woodland,13,13,15
1082,27,14.49230473992358,Grassland,14,14,15
25,1009,8.197430340878013,Grassland,14,14,15
1226,1100,12.797207076310483,Grassland,14,14,15
1084,1086,3.8965423470060974,Grassland,14,14,15
2167,1064,17.262330257253762,Grassland,14,14,15
1052,279,3.4761306811867323,Shrubland,14,14,15
1245,2162,13.87206554768268,Shrubland,14,14,15
1122,1025,17.389521017988407,Shrubland,14,14,15
250,1039,3.847988754212319,Shrubland,14,14,15
1089,1005,6.818772973879242,Shrubland,14,14,15
252,1143,14.889541506554849,Woodland,14,14,15
223,2208,5.88687122327189,Woodland,14,14,15
2189,2181,12.698948321502462,Woodland,14,14,15
1047,2202,17.0178183289694,Woodland,14,14,15
1046,22,13.571831021636315,Woodland,14,14,15
1150,241,9.260645942802743,Grassland,15,15,15
1232,292,11.611836493122848,Grassland,15,15,15
2167,2145,16.098604140525648,Grassland,15,15,15
1152,1014,12.956178199156652,Grassland,15,15,15
1123,1091,11.277834740887872,Grassland,15,15,15
1151,2161,10.234801739303819,Shrubland,15,15,15
1093,1090,5.117152157793759,Shrubland,15,15,15
1094,1066,9.89649850125439,Shrubland,15,15,15
1052,1026,17.201087053160936,Shrubland,15,15,15
1122,2116,3.108763177957015,Shrubland,15,15,15
