"Longitude","Latitude","Soil_pH","Soil_salinity","Soil_texture","Elevation","AnnualTemp","AnnualPrec"
1,0.01,0.18,0.27,0.21,-0.23,0.03,-0.17
0.01,1,0.14,0.31,0.28,-0.05,-0.47,-0.01
0.18,0.14,1,0.45,0.14,0.19,-0.13,-0.6
0.27,0.31,0.45,1,0.55,-0.02,-0.17,-0.32
0.21,0.28,0.14,0.55,1,-0.07,-0.22,0.1
-0.23,-0.05,0.19,-0.02,-0.07,1,-0.22,-0.09
0.03,-0.47,-0.13,-0.17,-0.22,-0.22,1,-0.03
-0.17,-0.01,-0.6,-0.32,0.1,-0.09,-0.03,1
