"","lc","fns","Label","Group_function","Organism","effect_mean","effect_SD","effect_median","effect_ci_2.5","effect_ci_17","effect_ci_83","effect_ci_97.5"
"32","Shrubland","Invertebrate_JaccDist_av","Invertebrate Dissimilarity","Dissimilarity","Invertebrates",-0.935693338732391,0.818100948890043,-0.843130248228615,-2.34460736290456,-1.67709271354596,-0.162189606215691,0.375884637390091
"33","Shrubland","Invertebrate_richness","Invertebrate Richness","Richness","Invertebrates",1.20271310282259,0.834828361351291,1.06790531830124,0.0431175740478884,0.451616427138922,1.93362421948307,3.27424411046686
"34","Shrubland","Invertebrate_shannonDiv","Invertebrate Shannon","Shannon","Invertebrates",0.81669024560367,0.764617738403788,0.727478357971854,-0.259040410231167,0.111322810242303,1.51726016625644,2.52476615231167
"35","Shrubland","Nematode_richness","Nematode Richness","Richness","Nematodes",0.961940393841264,0.753512774926809,0.846239903681843,-0.0903933744207387,0.277294529633212,1.60142872853408,2.69245114176798
"36","Shrubland","Nutrient_service","Nutrient cycling","Function","Function",-0.692815338266073,0.549066497055563,-0.765687591543521,-1.43567451634159,-1.13017322162427,-0.293410768848938,0.768919171122499
"37","Shrubland","OM_decomposition_service","Decomposition (OM)","Function","Function",0.104816830217112,0.741022163114603,0.0587799396800854,-0.903477758598021,-0.542702948185672,0.709595533621321,1.65304800625111
"38","Shrubland","Pathogen_control","Pathogen control","Function","Function",-0.0870089685951892,0.704528828382548,-0.0526036796727267,-1.2679540711928,-0.698789827568914,0.553276509773317,1.25718237242942
"39","Shrubland","Protist_JaccDist_av","Protist Dissimilarity","Dissimilarity","Protists",-0.362617728825337,0.744926954107047,-0.332137865754846,-1.67476879822193,-1.08857695107596,0.405160632037988,0.899537894143365
"40","Shrubland","Protist_richness","Protist Richness","Richness","Protists",0.0542500550970613,0.722790883013491,0.0260963644744433,-1.08878431942861,-0.609749775640866,0.704706302247924,1.51177463517554
"41","Shrubland","Protist_shannonDiv","Protist Shannon","Shannon","Protists",0.464750178324172,0.715934097949706,0.452939171807615,-0.669115050874937,-0.193144296067975,1.08447276736735,1.93192033559877
"42","Shrubland","Soil_carbon_service","Soil carbon","Function","Function",0.609763431064941,0.801171264980562,0.531213583359164,-0.533599266310387,-0.125673857849693,1.3495656406666,2.49134789443215
"43","Shrubland","Soil_stability_service","Soil stability","Function","Function",0.23875926935877,0.709043108286538,0.21281751587553,-0.822879032239093,-0.396867628779295,0.852110333580557,1.71803055008264
"44","Shrubland","Water_regulation_service","Water regulation","Function","Function",-0.526674798203003,0.710099344735697,-0.556987848840336,-1.63166457699328,-1.13785393212096,0.12027021405589,1.06419411382982
"45","Woodland","Arbuscularmycorrhizal_richness","AM fungi Richness","Richness","Fungi",0.18170904934466,0.729520711394301,0.136757510774478,-0.938833284996521,-0.512870063891249,0.876087744646285,1.63341622837828
"46","Woodland","Bac_JaccDist_av","Bacterial Dissimilarity","Dissimilarity","Bacteria",0.651268970173314,0.730913838968078,0.622756634810217,-0.484373498724838,-0.0101117955866403,1.29054569015108,2.21775491230182
"47","Woodland","Bac_richness","Bacterial Richness","Richness","Bacteria",-0.816516324995347,0.769421936046353,-0.749755679213006,-2.18530194834336,-1.47873718054392,-0.103700631987382,0.544790894467669
"48","Woodland","Bac_shannonDiv","Bacterial Shannon","Shannon","Bacteria",-0.893338862427517,0.778606816335442,-0.800845151414617,-2.23629598442829,-1.54070710992647,-0.204645845270994,0.430360929805013
"49","Woodland","Decomposer_richness","Decomposer Richness","Richness","Decomposers",-0.0437932007732478,0.738912311423219,-0.0334124962173896,-1.2910193665991,-0.706493768748925,0.633012013287283,1.30108179296729
"50","Woodland","Ectomycorrhizal_richness","EM fungi Richness","Richness","Fungi",-0.231606199197734,0.763169808644216,-0.252561789565935,-1.43340198734684,-0.891349189534992,0.4333163287725,1.22036607736344
"51","Woodland","Fungi_JaccDist_av","Fungal Dissimilarity","Dissimilarity","Fungi",0.419907793347047,0.790978729931406,0.378803486341038,-0.750425653885379,-0.298353466400265,1.07559831138812,2.15592228747071
"52","Woodland","Fungi_richness","Fungal Richness","Richness","Fungi",-0.130644508816299,0.741455477202125,-0.114990194513987,-1.38110708501871,-0.792257055332325,0.53603548893112,1.37950248826093
"53","Woodland","Fungi_shannonDiv","Fungal Shannon","Shannon","Fungi",-0.010741209594664,0.785355868624806,0.00221628071688083,-1.28705327702467,-0.677304872795681,0.650229202402165,1.53484905905781
"54","Woodland","Invertebrate_JaccDist_av","Invertebrate Dissimilarity","Dissimilarity","Invertebrates",0.238053390494368,0.802169140569774,0.183403206907857,-0.966533068051781,-0.480025604507126,0.950329742202678,2.00600577090457
"55","Woodland","Invertebrate_richness","Invertebrate Richness","Richness","Invertebrates",0.350721405755479,0.763175419772114,0.307065739165388,-0.837190234451331,-0.3210429913659,0.99885759687963,2.03485452007493
"56","Woodland","Invertebrate_shannonDiv","Invertebrate Shannon","Shannon","Invertebrates",-0.11819136955363,0.799529405955624,-0.131545465572716,-1.30172834484219,-0.823521920313319,0.549601226147401,1.38229519846512
"57","Woodland","Nematode_richness","Nematode Richness","Richness","Nematodes",-0.0459555474989959,0.757732581837138,-0.0527336317316674,-1.23224648328591,-0.714774142685447,0.586819044888321,1.60915765912823
"58","Woodland","Nutrient_service","Nutrient cycling","Function","Function",-0.0779512486910403,0.816067140237099,0.0702978336195313,-1.71819139158653,-0.671525655535787,0.576656738767984,1.15469679888958
"59","Woodland","OM_decomposition_service","Decomposition (OM)","Function","Function",0.210875699569805,0.677269654780146,0.293240159816476,-1.06957250093896,-0.427293634659747,0.834995430076191,1.31478263450474
"60","Woodland","Pathogen_control","Pathogen control","Function","Function",-0.588605577940527,0.684293084690824,-0.553078176398393,-1.70760045866335,-1.20738754963715,0.0168182167706371,0.738584115590476
"61","Woodland","Protist_JaccDist_av","Protist Dissimilarity","Dissimilarity","Protists",0.449286664827254,0.731327434357219,0.430260060083013,-0.744273610091858,-0.196599909908408,1.09294047444215,1.96208510743527
"62","Woodland","Protist_richness","Protist Richness","Richness","Protists",-0.201367873080071,0.739013425670388,-0.196275374133797,-1.32327377003799,-0.852371002018707,0.429297227006214,1.29304984187521
"63","Woodland","Protist_shannonDiv","Protist Shannon","Shannon","Protists",-0.117562736767669,0.712053927978357,-0.167996011179296,-1.2100729018393,-0.753742494639178,0.537304649231913,1.43399588035271
"64","Woodland","Soil_carbon_service","Soil carbon","Function","Function",-0.0777634209010226,0.629178548801705,-0.081412028653635,-1.10242152121657,-0.712306992169043,0.544663273459327,1.07766578896619
"65","Woodland","Soil_stability_service","Soil stability","Function","Function",-0.0511785494189885,0.755964791470802,-0.02813472459538,-1.2941444670572,-0.709360825331191,0.613926119411082,1.47289894087219
"66","Woodland","Water_regulation_service","Water regulation","Function","Function",-0.452380923080804,0.710901450678711,-0.404025435735015,-1.68149143234424,-1.09280753751796,0.155428179351036,0.889050109644288
