LC,PA_rank_rev.trend,lower.HPD,upper.HPD,fns,scale
Grassland,0.0026052270849876713,-0.004002077077691624,0.009087140853885955,Soil_carbon_service,global
Shrubland,0.0023251085877464828,-0.00449642958249008,0.009133410966049027,Soil_carbon_service,global
Woodland,0.0019045120304603813,-0.003963815734531195,0.007788210284379815,Soil_carbon_service,global
Grassland,0.003104180544736046,-0.0035321678179904836,0.009657397452174976,OM_decomposition_service,global
Shrubland,0.004495551804274633,-0.002358651781985799,0.01138476040143388,OM_decomposition_service,global
Woodland,0.003662088527020657,-0.002271548304651816,0.009554745567879053,OM_decomposition_service,global
Grassland,0.009106362316799732,-2.923008958362061e-4,0.018880496456453955,Water_regulation_service,global
Shrubland,0.0044213517106292954,-0.00542991706670648,0.014376749422726931,Water_regulation_service,global
Woodland,-0.0015380223857803799,-0.009947558466983253,0.007000093135332008,Water_regulation_service,global
Grassland,-0.003348062193090584,-0.01968412712374601,0.012796249177839059,Soil_stability_service,global
Shrubland,0.017833847878360842,6.802627977293696e-4,0.03476703062800368,Soil_stability_service,global
Woodland,0.0015970468268875493,-0.013008753766484915,0.016101346606923528,Soil_stability_service,global
Grassland,-0.0023859106808870045,-0.008865368396014262,0.0038705444074302875,Nutrient_service,global
Shrubland,-0.003140698059618252,-0.009895788829592078,0.003596609299017395,Nutrient_service,global
Woodland,0.005596388517744799,-1.352954968254494e-4,0.01129327979553807,Nutrient_service,global
Grassland,-4.8477584193307166e-4,-0.0010951015819244958,1.5222838905515346e-4,Pathogen_control,global
Shrubland,-1.42673584377917e-5,-6.7366691300208e-4,6.316419626699599e-4,Pathogen_control,global
Woodland,-2.1225438332095337e-4,-7.734895877149484e-4,3.36892576029868e-4,Pathogen_control,global
Grassland,-17.385817664209753,-65.75541556050302,33.674356028204784,Bac_richness,global
Shrubland,38.98831143620191,-11.734609982697293,91.3262342500966,Bac_richness,global
Woodland,-96.9963295905618,-142.34341406688327,-53.374804876802955,Bac_richness,global
Grassland,-7.447735454190479,-12.138085099337331,-2.924864589036588,Fungi_richness,global
Shrubland,8.108431804133943,3.394076986111031,12.940726096669096,Fungi_richness,global
Woodland,-6.027313972324919,-10.0833566080546,-1.8331646951373841,Fungi_richness,global
Grassland,0.023325526818098297,-1.6038612246466073,1.745617630270317,Invertebrate_richness,global
Shrubland,1.0370075164978516,-0.7409754404543492,2.8157650515186106,Invertebrate_richness,global
Woodland,-1.5216925912450279,-3.0458306324999285,-0.013193713019973075,Invertebrate_richness,global
Grassland,-6.1580415518183145,-13.112484246688837,1.0772822616563644,Protist_richness,global
Shrubland,-0.7156939137239533,-8.305909296192112,6.386244048342633,Protist_richness,global
Woodland,-5.141903071271372,-11.737202202653862,1.1185336696144077,Protist_richness,global
Grassland,-0.49048982715839884,-1.5561962470674189,0.5172222370224517,Nematode_richness,global
Shrubland,0.6127855695942799,-0.4635872769290472,1.6795142222667891,Nematode_richness,global
Woodland,-1.3109543059338193,-2.232122176348639,-0.3877459266614096,Nematode_richness,global
Grassland,-0.012971224158320638,-0.04209478715449677,0.01724710382200101,Bac_shannonDiv,global
Shrubland,0.022522562271944935,-0.008422389349220794,0.053760024145958596,Bac_shannonDiv,global
Woodland,-0.05789503576977495,-0.08367894040259216,-0.030644385125810913,Bac_shannonDiv,global
Grassland,-0.021606393421990333,-0.05720801963724398,0.012395363057351005,Fungi_shannonDiv,global
Shrubland,0.057679671911756714,0.019590417289464312,0.09338968867336916,Fungi_shannonDiv,global
Woodland,-0.03361254597970742,-0.06525065940030572,-0.0022034189613009403,Fungi_shannonDiv,global
Grassland,-0.03993971994128742,-0.08203898694119971,0.0033339914361931733,Invertebrate_shannonDiv,global
Shrubland,0.02781368280690799,-0.0168733242050223,0.07186256954685177,Invertebrate_shannonDiv,global
Woodland,-0.03848753341765132,-0.07646369420677956,1.5395089599223866e-4,Invertebrate_shannonDiv,global
Grassland,-0.017744157363779323,-0.06081628593142341,0.026000068555049438,Protist_shannonDiv,global
Shrubland,0.007895508841102128,-0.03744161601144924,0.05319146822142784,Protist_shannonDiv,global
Woodland,-0.04416831525864495,-0.08282756864133489,-0.0046617513244768816,Protist_shannonDiv,global
Grassland,-0.06032095679151439,-0.31329153154013056,0.1955546410679858,Ectomycorrhizal_richness,global
Shrubland,0.14309087580824098,-0.12163382329555361,0.40942337566195874,Ectomycorrhizal_richness,global
Woodland,-0.0020585995274018387,-0.23387623258440726,0.22463925254271544,Ectomycorrhizal_richness,global
Grassland,-0.08588726690160797,-0.251013456692192,0.08395240716134822,Arbuscularmycorrhizal_richness,global
Shrubland,0.28007241082161727,0.10433179625118782,0.45725808035149385,Arbuscularmycorrhizal_richness,global
Woodland,-0.11449147082120703,-0.26785067419717734,0.03418352478945508,Arbuscularmycorrhizal_richness,global
Grassland,-0.5993194997055298,-0.9665659057491212,-0.2208525668393122,Decomposer_richness,global
Shrubland,0.7650827691797986,0.3791911183150205,1.1617757425519812,Decomposer_richness,global
Woodland,-0.06158612715842082,-0.3986004249193229,0.27264882721738104,Decomposer_richness,global
Grassland,0.0011171942739167662,-9.658260353262449e-5,0.0023464723764874407,Bac_JaccDist_av,global
Shrubland,-8.536989729392985e-4,-0.0020953961119545284,4.6792643776427667e-4,Bac_JaccDist_av,global
Woodland,0.0024010617275820323,0.001296893538636823,0.0035134621923162968,Bac_JaccDist_av,global
Grassland,0.001624780061263209,4.602555652297724e-4,0.0027857158828368256,Fungi_JaccDist_av,global
Shrubland,-8.018998048484605e-4,-0.002005195700320428,3.8074539259014273e-4,Fungi_JaccDist_av,global
