"Longitude","Latitude","Soil_pH","Soil_salinity","Soil_texture","Elevation","AnnualTemp","AnnualPrec"
1,-0.02,0.14,0.25,0.21,-0.29,-0.05,-0.22
-0.02,1,0.2,0.2,0.28,0,-0.32,-0.07
0.14,0.2,1,0.25,0.16,0.13,-0.15,-0.49
0.25,0.2,0.25,1,0.18,0,-0.22,-0.19
0.21,0.28,0.16,0.18,1,-0.04,-0.18,-0.08
-0.29,0,0.13,0,-0.04,1,-0.29,0.11
-0.05,-0.32,-0.15,-0.22,-0.18,-0.29,1,-0.1
-0.22,-0.07,-0.49,-0.19,-0.08,0.11,-0.1,1
